지역명,시군구명,보훈대상자 이용률,보훈대상자수,고령자수,병원 이용자수 평균,보훈병원 유무,광역시도명_x,병원수,평균진료과수,광역시도명_y,대중교통시간_분
강원특별자치도,강릉시,,5237,4011,674.3333333333334,0,강원특별자치도,6.0,7.0,강원특별자치도,18.8
강원특별자치도,고성군(강원),,965,701,28.58333333333333,0,강원특별자치도,2.0,11.0,강원특별자치도,59.5
강원특별자치도,동해시,,2618,1742,223.3333333333333,0,강원특별자치도,4.0,8.0,강원특별자치도,58.5
강원특별자치도,삼척시,,1542,1252,110.8333333333333,0,강원특별자치도,3.0,8.0,강원특별자치도,231.6666666666667
강원특별자치도,속초시,,2354,1605,181.6666666666667,0,강원특별자치도,3.0,9.0,강원특별자치도,38.0
강원특별자치도,양구군,,719,455,26.41666666666667,0,강원특별자치도,2.0,6.0,강원특별자치도,6.5
강원특별자치도,양양군,,869,656,59.66666666666666,0,강원특별자치도,2.0,3.0,강원특별자치도,33.0
강원특별자치도,영월군,,924,753,82.58333333333333,0,강원특별자치도,3.0,14.0,강원특별자치도,7.0
강원특별자치도,원주시,,8421,5601,1090.083333333333,0,강원특별자치도,8.0,9.0,강원특별자치도,60.0
강원특별자치도,인제군,,1027,633,54.18181818181818,0,강원특별자치도,2.0,7.0,강원특별자치도,18.0
강원특별자치도,정선군,,718,587,40.08333333333334,0,강원특별자치도,3.0,5.0,강원특별자치도,43.0
강원특별자치도,철원군,,1600,1147,130.0833333333333,0,강원특별자치도,3.0,7.0,강원특별자치도,40.33333333333334
강원특별자치도,춘천시,,8419,5946,968.3333333333334,0,강원특별자치도,9.0,6.0,강원특별자치도,49.375
강원특별자치도,태백시,,829,691,86.16666666666667,0,강원특별자치도,3.0,6.0,강원특별자치도,19.0
강원특별자치도,평창군,,966,776,18.91666666666667,0,강원특별자치도,1.0,14.0,강원특별자치도,24.0
강원특별자치도,홍천군,,2162,1532,124.9166666666667,0,강원특별자치도,4.0,4.0,강원특별자치도,15.5
강원특별자치도,화천군,,937,573,20.75,0,강원특별자치도,2.0,6.0,강원특별자치도,9.5
강원특별자치도,횡성군,,1437,1150,93.91666666666669,0,강원특별자치도,3.0,6.0,강원특별자치도,37.33333333333334
경기도,가평군,,1892,1472,55.25,0,경기도,3.0,10.0,경기도,37.0
경기도,고양시,,18350,13608,2296.916666666667,0,경기도,5.0,9.0,경기도,27.4
경기도,과천시,,1444,1073,32.27272727272727,0,경기도,1.0,5.0,경기도,11.0
경기도,광명시,,3669,2895,1341.75,0,경기도,5.0,9.0,경기도,17.0
경기도,광주시(경기),,5705,4133,183.5833333333333,0,경기도,5.0,7.0,경기도,54.2
경기도,구리시,,3064,2317,259.0833333333333,0,경기도,3.0,8.0,경기도,14.66666666666667
경기도,군포시,,4073,3205,436.0833333333333,0,경기도,4.0,7.0,경기도,10.25
경기도,김포시,,7946,5680,689.4166666666666,0,경기도,5.0,7.0,경기도,32.4
경기도,남양주시,,12021,9018,413.0,0,경기도,8.0,8.0,경기도,47.625
경기도,동두천시,,2456,1846,257.75,0,경기도,4.0,6.0,경기도,61.25
경기도,부천시,,10406,8251,640.3333333333334,0,경기도,6.0,6.0,경기도,21.33333333333333
경기도,성남시,,13779,10933,641.5833333333334,0,경기도,9.0,7.0,경기도,19.77777777777778
경기도,수원시,,15777,11581,1883.333333333333,0,경기도,7.0,10.0,경기도,25.85714285714286
경기도,시흥시,,5437,3761,381.4166666666667,0,경기도,5.0,10.0,경기도,39.2
경기도,안산시,,6441,4836,384.75,0,경기도,5.0,6.0,경기도,25.4
경기도,안성시,,2710,2072,170.6666666666667,0,경기도,4.0,8.0,경기도,17.25
경기도,안양시,,8341,6276,1198.666666666667,0,경기도,6.0,8.0,경기도,20.66666666666667
경기도,양주시,,6082,3873,171.8333333333333,0,경기도,4.0,6.0,경기도,25.5
경기도,양평군,,3604,2825,168.0833333333333,0,경기도,4.0,7.0,경기도,7.5
경기도,여주시,,2438,1859,145.8333333333333,0,경기도,1.0,12.0,경기도,7.0
경기도,연천군,,1701,1311,70.66666666666667,0,경기도,2.0,6.0,경기도,27.0
경기도,오산시,,2608,1723,183.6363636363636,0,경기도,1.0,14.0,경기도,18.0
경기도,용인시,,19018,14759,821.8333333333334,0,경기도,8.0,9.0,경기도,43.5
경기도,의왕시,,2448,1932,87.33333333333333,0,경기도,2.0,9.0,경기도,24.0
경기도,의정부시,,9532,7214,920.3333333333334,0,경기도,6.0,5.0,경기도,201.0
경기도,이천시,,2980,1998,182.8333333333333,0,경기도,3.0,6.0,경기도,24.33333333333333
경기도,파주시,,9281,6519,324.25,0,경기도,7.0,7.0,경기도,30.42857142857143
경기도,평택시,,8063,4791,548.75,0,경기도,6.0,7.0,경기도,214.2
경기도,포천시,,3585,2567,168.25,0,경기도,2.0,9.0,경기도,19.0
경기도,하남시,,6321,4727,233.0,0,경기도,4.0,6.0,경기도,65.75
