지역명,시군구명,병원수,평균진료과수
강원특별자치도,강릉시,6,7
강원특별자치도,고성군,2,11
강원특별자치도,동해시,4,8
강원특별자치도,삼척시,3,8
강원특별자치도,속초시,3,9
강원특별자치도,양구군,2,6
강원특별자치도,양양군,2,3
강원특별자치도,영월군,3,14
강원특별자치도,원주시,8,9
강원특별자치도,인제군,2,7
강원특별자치도,정선군,3,5
강원특별자치도,철원군,3,7
강원특별자치도,춘천시,9,6
강원특별자치도,태백시,3,6
강원특별자치도,평창군,1,14
강원특별자치도,홍천군,4,4
강원특별자치도,화천군,2,6
강원특별자치도,횡성군,3,6
경기도,가평군,3,10
경기도,고양시,5,9
경기도,과천시,1,5
경기도,광명시,5,9
경기도,광주시,5,7
경기도,구리시,3,8
경기도,군포시,4,7
경기도,김포시,5,7
경기도,남양주시,8,8
경기도,동두천시,4,6
경기도,부천시,6,6
경기도,성남시,9,7
경기도,수원시,7,10
경기도,시흥시,5,10
경기도,안산시,5,6
경기도,안성시,4,8
경기도,안양시,6,8
경기도,양주시,4,6
경기도,양평군,4,7
경기도,여주시,1,12
경기도,연천군,2,6
경기도,오산시,1,14
경기도,용인시,8,9
경기도,의왕시,2,9
경기도,의정부시,6,5
경기도,이천시,3,6
경기도,파주시,7,7
경기도,평택시,6,7
경기도,포천시,2,9
경기도,하남시,4,6
경기도,화성시,6,7
경상남도,거제시,4,10
경상남도,거창군,3,9
경상남도,고성군,3,8
경상남도,김해시,7,9
경상남도,남해군,3,6
경상남도,밀양시,4,7
경상남도,사천시,3,17
경상남도,산청군,2,9
경상남도,양산시,6,7
경상남도,의령군,3,8
경상남도,진주시,7,8
경상남도,창녕군,3,5
경상남도,창원시,14,9
경상남도,통영시,4,4
경상남도,하동군,3,7
경상남도,함안군,4,9
경상남도,함양군,2,11
경상남도,합천군,2,7
경상북도,경산시,6,7
경상북도,경주시,6,9
경상북도,고령군,2,8
경상북도,구미시,6,8
경상북도,김천시,4,7
경상북도,문경시,4,7
경상북도,봉화군,1,5
경상북도,상주시,3,7
경상북도,성주군,1,5
경상북도,안동시,3,13
경상북도,영덕군,2,4
경상북도,영양군,1,3
경상북도,영주시,5,5
경상북도,영천시,3,8
경상북도,예천군,3,6
경상북도,울릉군,1,10
경상북도,울진군,3,8
경상북도,의성군,4,6
경상북도,청도군,4,4
경상북도,청송군,1,7
경상북도,칠곡군,3,7
경상북도,포항시,7,11
광주광역시,광산구,5,10
광주광역시,남구,4,8
광주광역시,동구,2,8
광주광역시,북구,2,4
광주광역시,서구,3,6
대구광역시,군위군,1,5
대구광역시,남구,3,6
대구광역시,달서구,7,7
대구광역시,달성군,4,7
대구광역시,동구,5,5
대구광역시,북구,4,6
대구광역시,서구,3,4
대구광역시,수성구,5,6
대구광역시,중구,2,6
대전광역시,대덕구,3,14
대전광역시,동구,3,5
대전광역시,서구,7,6
대전광역시,유성구,4,4
대전광역시,중구,3,2
부산광역시,강서구,1,6
부산광역시,금정구,3,7
부산광역시,기장군,6,5
부산광역시,남구,4,5
부산광역시,동구,2,6
부산광역시,동래구,4,8
부산광역시,북구,5,3
부산광역시,사상구,4,11
부산광역시,사하구,4,6
부산광역시,서구,2,8
부산광역시,수영구,4,4
부산광역시,연제구,4,3
부산광역시,영도구,3,5
부산광역시,중구,3,2
부산광역시,진구,3,3
부산광역시,해운대구,6,5
서울특별시,강남구,6,2
서울특별시,강동구,6,13
서울특별시,강북구,5,7
서울특별시,강서구,6,6
서울특별시,관악구,5,6
서울특별시,광진구,4,2
서울특별시,구로구,6,4
서울특별시,금천구,4,4
서울특별시,노원구,7,4
서울특별시,도봉구,5,5
서울특별시,동대문구,7,7
서울특별시,동작구,6,4
서울특별시,마포구,5,4
서울특별시,서대문구,5,5
서울특별시,서초구,5,4
서울특별시,성동구,4,2
서울특별시,성북구,6,7
서울특별시,송파구,5,3
서울특별시,양천구,4,6
서울특별시,영등포구,6,4
서울특별시,용산구,3,6
