지역명,시군구명,보훈대상자수
전북특별자치도,고창군,22895
전북특별자치도,군산시,82637
전북특별자치도,김제시,33979
전북특별자치도,남원시,25781
전북특별자치도,무주군,12228
전북특별자치도,부안군,20661
전북특별자치도,순창군,12506
전북특별자치도,완주군,34955
전북특별자치도,익산시,77342
전북특별자치도,임실군,12403
전북특별자치도,장수군,10163
전북특별자치도,전주시 덕진구,77846
전북특별자치도,전주시 완산구,87764
전북특별자치도,정읍시,39932
전북특별자치도,진안군,13209
인천광역시,강화군(인천),42500
인천광역시,계양구,64819
인천광역시,남동구,130640
인천광역시,동구(인천),19956
인천광역시,미추홀구,113524
인천광역시,부평구,126579
인천광역시,서구(인천),120977
인천광역시,연수구,75890
인천광역시,옹진군(인천),9285
인천광역시,중구(인천),42011
대구광역시,군위군,6555
대구광역시,남구(대구),56865
대구광역시,달서구,153855
대구광역시,달성군(대구),68535
대구광역시,동구(대구),152990
대구광역시,북구(대구),119839
대구광역시,서구(대구),55101
대구광역시,수성구,137264
대구광역시,중구(대구),27082
울산광역시,남구(울산),71029
울산광역시,동구(울산),36466
울산광역시,북구(울산),41108
울산광역시,울주군(울산),66498
울산광역시,중구(울산),55241
경상북도,경산시,95972
경상북도,경주시,100025
경상북도,고령군,15110
경상북도,구미시,73253
경상북도,군위군,9631
경상북도,김천시,53088
경상북도,문경시,32651
경상북도,봉화군,14354
경상북도,상주시,40214
경상북도,성주군,20408
경상북도,안동시,58085
경상북도,영덕군,19053
경상북도,영양군,7064
경상북도,영주시,41514
경상북도,영천시,47842
경상북도,예천군,20755
경상북도,울릉군,3154
경상북도,울진군(경북),19986
경상북도,의성군,31889
경상북도,청도군,23634
경상북도,청송군,12648
경상북도,칠곡군,33281
경상북도,포항시 남구,96654
경상북도,포항시 북구,99765
서울특별시,강남구,133282
서울특별시,강동구,136412
서울특별시,강북구,84898
서울특별시,강서구(서울),153742
서울특별시,관악구,126492
서울특별시,광진구,70568
서울특별시,구로구,108795
서울특별시,금천구,58478
서울특별시,노원구,150609
서울특별시,도봉구,101644
서울특별시,동대문구,87523
서울특별시,동작구,119806
서울특별시,마포구,83464
서울특별시,서대문구,75726
서울특별시,서초구,115023
서울특별시,성동구,62904
서울특별시,성북구,109955
서울특별시,송파구,177277
서울특별시,양천구,106541
서울특별시,영등포구,112570
서울특별시,용산구,63416
서울특별시,은평구,128905
서울특별시,종로구,39792
서울특별시,중구(서울),33941
서울특별시,중랑구,99610
충청북도,괴산군,17476
충청북도,단양군,11723
충청북도,보은군,16249
충청북도,영동군,22112
충청북도,옥천군,21907
충청북도,음성군,26826
충청북도,제천시,43565
충청북도,증평군,13503
충청북도,진천군,19826
충청북도,청주시 상당구,59116
충청북도,청주시 서원구,51946
충청북도,청주시 청원구,47003
충청북도,청주시 흥덕구,55618
충청북도,충주시,70767
전라남도,강진군,15145
전라남도,고흥군,30866
전라남도,곡성군,14230
전라남도,광양시,34134
전라남도,구례군,13294
전라남도,나주시,43459
전라남도,담양군,22290
전라남도,목포시,65091
전라남도,무안군,28723
전라남도,보성군,19590
전라남도,순천시,76288
전라남도,신안군,14745
전라남도,여수시,77687
전라남도,영광군,20581
전라남도,영암군,19465
전라남도,완도군,19690
전라남도,장성군,23317
전라남도,장흥군,17588
전라남도,진도군,13297
전라남도,함평군,13918
전라남도,해남군,32037
전라남도,화순군,25894
강원특별자치도,강릉시,89322
강원특별자치도,고성군(강원),15688
강원특별자치도,동해시,43145
강원특별자치도,삼척시,26736
강원특별자치도,속초시,38883
강원특별자치도,양구군,12113
강원특별자치도,양양군,14537
강원특별자치도,영월군,15848
강원특별자치도,원주시,139136
강원특별자치도,인제군,16854
강원특별자치도,정선군,12511
강원특별자치도,철원군,26798
강원특별자치도,춘천시,141649
강원특별자치도,태백시,14461
강원특별자치도,평창군,16336
강원특별자치도,홍천군,35581
강원특별자치도,화천군,15270
강원특별자치도,횡성군,24296
경기도,가평군,31661
경기도,고양시 덕양구,150962
