기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,강원특별자치도,강원특별자치도,1,순국선열,건국훈장,29,0,29
2025-03,강원특별자치도,강원특별자치도,2,순국선열,건국포장,2,0,2
2025-03,강원특별자치도,강원특별자치도,3,순국선열,대통령표창,4,0,4
2025-03,강원특별자치도,강원특별자치도,4,애국지사,건국훈장,104,0,104
2025-03,강원특별자치도,강원특별자치도,5,애국지사,건국포장,18,0,18
2025-03,강원특별자치도,강원특별자치도,6,애국지사,대통령표창,55,0,55
2025-03,강원특별자치도,강원특별자치도,7,전몰·전상·순직·공상군경,전몰군경,1316,0,1316
2025-03,강원특별자치도,강원특별자치도,8,전몰·전상·순직·공상군경,전상군경,6212,2128,4084
2025-03,강원특별자치도,강원특별자치도,9,전몰·전상·순직·공상군경,순직군경,723,0,723
2025-03,강원특별자치도,강원특별자치도,10,전몰·전상·순직·공상군경,공상군경,2877,1948,929
2025-03,강원특별자치도,강원특별자치도,11,고엽제후유증,고엽제후유증,2490,1398,1092
2025-03,강원특별자치도,강원특별자치도,12,무공수훈자,무공수훈자,3750,444,3306
2025-03,강원특별자치도,강원특별자치도,13,보국수훈자,보국수훈자,4198,3857,341
2025-03,강원특별자치도,강원특별자치도,14,재일학도의용군인,재일학도의용군인,9,0,9
2025-03,강원특별자치도,강원특별자치도,15,4.19혁명유공자,4·19혁명사망자,1,0,1
2025-03,강원특별자치도,강원특별자치도,16,4.19혁명유공자,4·19혁명부상자,4,2,2
2025-03,강원특별자치도,강원특별자치도,17,4.19혁명유공자,4·19혁명공로자,6,2,4
2025-03,강원특별자치도,강원특별자치도,18,순직·공상공무원,순직공무원,425,0,425
2025-03,강원특별자치도,강원특별자치도,19,순직·공상공무원,공상공무원,357,205,152
2025-03,강원특별자치도,강원특별자치도,20,특별공로순직자,특별공로순직자,1,0,1
2025-03,강원특별자치도,강원특별자치도,21,6·18자유상이자,6·18자유상이자,7,0,7
2025-03,강원특별자치도,강원특별자치도,22,지원대상자,지원순직군경,12,0,12
2025-03,강원특별자치도,강원특별자치도,23,지원대상자,지원공상군경,61,55,6
2025-03,강원특별자치도,강원특별자치도,24,지원대상자,지원순직공무원,16,0,16
2025-03,강원특별자치도,강원특별자치도,25,지원대상자,지원공상공무원,38,35,3
2025-03,강원특별자치도,강원특별자치도,26,보훈보상대상자,재해사망군경,66,0,66
2025-03,강원특별자치도,강원특별자치도,27,보훈보상대상자,재해부상군경,275,244,31
2025-03,강원특별자치도,강원특별자치도,28,보훈보상대상자,재해사망공무원,13,0,13
2025-03,강원특별자치도,강원특별자치도,29,보훈보상대상자,재해부상공무원,18,15,3
2025-03,강원특별자치도,강원특별자치도,30,참전유공자,6·25전쟁,1390,1390,0
2025-03,강원특별자치도,강원특별자치도,31,참전유공자,월남전쟁,6396,6396,0
2025-03,강원특별자치도,강원특별자치도,32,참전유공자,6.25및월남전쟁,40,40,0
2025-03,강원특별자치도,강원특별자치도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,1623,1623,0
2025-03,강원특별자치도,강원특별자치도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,1,1,0
2025-03,강원특별자치도,강원특별자치도,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,강원특별자치도,강원특별자치도,36,5.18민주유공자,5·18부상자,15,12,3
2025-03,강원특별자치도,강원특별자치도,37,5.18민주유공자,5·18희생자,31,29,2
2025-03,강원특별자치도,강원특별자치도,38,특수임무유공자,특수임무사망자 또는 행불자,2,0,2
2025-03,강원특별자치도,강원특별자치도,39,특수임무유공자,특수임무부상자,72,60,12
2025-03,강원특별자치도,강원특별자치도,40,특수임무유공자,특수임무공로자,289,164,125
2025-03,강원특별자치도,강원특별자치도,41,중·장기복무제대군인,중·장기복무제대군인,8874,8874,0
2025-03,강원특별자치도,강릉시,1,순국선열,건국훈장,2,0,2
2025-03,강원특별자치도,강릉시,2,순국선열,건국포장,1,0,1
2025-03,강원특별자치도,강릉시,3,순국선열,대통령표창,0,0,0
2025-03,강원특별자치도,강릉시,4,애국지사,건국훈장,19,0,19
2025-03,강원특별자치도,강릉시,5,애국지사,건국포장,3,0,3
2025-03,강원특별자치도,강릉시,6,애국지사,대통령표창,7,0,7
2025-03,강원특별자치도,강릉시,7,전몰·전상·순직·공상군경,전몰군경,198,0,198
2025-03,강원특별자치도,강릉시,8,전몰·전상·순직·공상군경,전상군경,919,290,629
2025-03,강원특별자치도,강릉시,9,전몰·전상·순직·공상군경,순직군경,81,0,81
2025-03,강원특별자치도,강릉시,10,전몰·전상·순직·공상군경,공상군경,402,271,131
2025-03,강원특별자치도,강릉시,11,고엽제후유증,고엽제후유증,355,190,165
2025-03,강원특별자치도,강릉시,12,무공수훈자,무공수훈자,554,69,485
2025-03,강원특별자치도,강릉시,13,보국수훈자,보국수훈자,391,360,31
2025-03,강원특별자치도,강릉시,14,재일학도의용군인,재일학도의용군인,3,0,3
2025-03,강원특별자치도,강릉시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,강원특별자치도,강릉시,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,강원특별자치도,강릉시,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,강원특별자치도,강릉시,18,순직·공상공무원,순직공무원,71,0,71
2025-03,강원특별자치도,강릉시,19,순직·공상공무원,공상공무원,51,27,24
2025-03,강원특별자치도,강릉시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,강원특별자치도,강릉시,21,6·18자유상이자,6·18자유상이자,2,0,2
2025-03,강원특별자치도,강릉시,22,지원대상자,지원순직군경,2,0,2
2025-03,강원특별자치도,강릉시,23,지원대상자,지원공상군경,5,4,1
2025-03,강원특별자치도,강릉시,24,지원대상자,지원순직공무원,2,0,2
2025-03,강원특별자치도,강릉시,25,지원대상자,지원공상공무원,4,3,1
2025-03,강원특별자치도,강릉시,26,보훈보상대상자,재해사망군경,10,0,10
2025-03,강원특별자치도,강릉시,27,보훈보상대상자,재해부상군경,45,38,7
2025-03,강원특별자치도,강릉시,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,강원특별자치도,강릉시,29,보훈보상대상자,재해부상공무원,2,2,0
2025-03,강원특별자치도,강릉시,30,참전유공자,6·25전쟁,228,228,0
2025-03,강원특별자치도,강릉시,31,참전유공자,월남전쟁,834,834,0
2025-03,강원특별자치도,강릉시,32,참전유공자,6.25및월남전쟁,2,2,0
2025-03,강원특별자치도,강릉시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,224,224,0
2025-03,강원특별자치도,강릉시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,강원특별자치도,강릉시,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,강원특별자치도,강릉시,36,5.18민주유공자,5·18부상자,2,1,1
2025-03,강원특별자치도,강릉시,37,5.18민주유공자,5·18희생자,7,7,0
2025-03,강원특별자치도,강릉시,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,강원특별자치도,강릉시,39,특수임무유공자,특수임무부상자,8,7,1
2025-03,강원특별자치도,강릉시,40,특수임무유공자,특수임무공로자,27,14,13
2025-03,강원특별자치도,강릉시,41,중·장기복무제대군인,중·장기복무제대군인,808,808,0
2025-03,강원특별자치도,고성군(강원),1,순국선열,건국훈장,1,0,1
2025-03,강원특별자치도,고성군(강원),2,순국선열,건국포장,0,0,0
2025-03,강원특별자치도,고성군(강원),3,순국선열,대통령표창,0,0,0
2025-03,강원특별자치도,고성군(강원),4,애국지사,건국훈장,1,0,1
2025-03,강원특별자치도,고성군(강원),5,애국지사,건국포장,0,0,0
2025-03,강원특별자치도,고성군(강원),6,애국지사,대통령표창,0,0,0
2025-03,강원특별자치도,고성군(강원),7,전몰·전상·순직·공상군경,전몰군경,18,0,18
2025-03,강원특별자치도,고성군(강원),8,전몰·전상·순직·공상군경,전상군경,158,70,88
2025-03,강원특별자치도,고성군(강원),9,전몰·전상·순직·공상군경,순직군경,18,0,18
2025-03,강원특별자치도,고성군(강원),10,전몰·전상·순직·공상군경,공상군경,58,39,19
2025-03,강원특별자치도,고성군(강원),11,고엽제후유증,고엽제후유증,86,59,27
2025-03,강원특별자치도,고성군(강원),12,무공수훈자,무공수훈자,85,6,79
2025-03,강원특별자치도,고성군(강원),13,보국수훈자,보국수훈자,75,70,5
2025-03,강원특별자치도,고성군(강원),14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,강원특별자치도,고성군(강원),15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,강원특별자치도,고성군(강원),16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,강원특별자치도,고성군(강원),17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,강원특별자치도,고성군(강원),18,순직·공상공무원,순직공무원,3,0,3
2025-03,강원특별자치도,고성군(강원),19,순직·공상공무원,공상공무원,2,0,2
2025-03,강원특별자치도,고성군(강원),20,특별공로순직자,특별공로순직자,0,0,0
2025-03,강원특별자치도,고성군(강원),21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,강원특별자치도,고성군(강원),22,지원대상자,지원순직군경,0,0,0
2025-03,강원특별자치도,고성군(강원),23,지원대상자,지원공상군경,0,0,0
2025-03,강원특별자치도,고성군(강원),24,지원대상자,지원순직공무원,0,0,0
2025-03,강원특별자치도,고성군(강원),25,지원대상자,지원공상공무원,1,1,0
2025-03,강원특별자치도,고성군(강원),26,보훈보상대상자,재해사망군경,1,0,1
2025-03,강원특별자치도,고성군(강원),27,보훈보상대상자,재해부상군경,6,4,2
2025-03,강원특별자치도,고성군(강원),28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,강원특별자치도,고성군(강원),29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,강원특별자치도,고성군(강원),30,참전유공자,6·25전쟁,23,23,0
2025-03,강원특별자치도,고성군(강원),31,참전유공자,월남전쟁,147,147,0
2025-03,강원특별자치도,고성군(강원),32,참전유공자,6.25및월남전쟁,1,1,0
2025-03,강원특별자치도,고성군(강원),33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,39,39,0
2025-03,강원특별자치도,고성군(강원),34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,강원특별자치도,고성군(강원),35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,강원특별자치도,고성군(강원),36,5.18민주유공자,5·18부상자,0,0,0
2025-03,강원특별자치도,고성군(강원),37,5.18민주유공자,5·18희생자,0,0,0
2025-03,강원특별자치도,고성군(강원),38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,강원특별자치도,고성군(강원),39,특수임무유공자,특수임무부상자,12,8,4
2025-03,강원특별자치도,고성군(강원),40,특수임무유공자,특수임무공로자,39,10,29
2025-03,강원특별자치도,고성군(강원),41,중·장기복무제대군인,중·장기복무제대군인,187,187,0
2025-03,강원특별자치도,동해시,1,순국선열,건국훈장,3,0,3
2025-03,강원특별자치도,동해시,2,순국선열,건국포장,0,0,0
2025-03,강원특별자치도,동해시,3,순국선열,대통령표창,0,0,0
2025-03,강원특별자치도,동해시,4,애국지사,건국훈장,2,0,2
2025-03,강원특별자치도,동해시,5,애국지사,건국포장,1,0,1
2025-03,강원특별자치도,동해시,6,애국지사,대통령표창,2,0,2
2025-03,강원특별자치도,동해시,7,전몰·전상·순직·공상군경,전몰군경,74,0,74
2025-03,강원특별자치도,동해시,8,전몰·전상·순직·공상군경,전상군경,337,137,200
2025-03,강원특별자치도,동해시,9,전몰·전상·순직·공상군경,순직군경,32,0,32
2025-03,강원특별자치도,동해시,10,전몰·전상·순직·공상군경,공상군경,133,79,54
2025-03,강원특별자치도,동해시,11,고엽제후유증,고엽제후유증,139,92,47
2025-03,강원특별자치도,동해시,12,무공수훈자,무공수훈자,213,21,192
2025-03,강원특별자치도,동해시,13,보국수훈자,보국수훈자,428,400,28
2025-03,강원특별자치도,동해시,14,재일학도의용군인,재일학도의용군인,1,0,1
2025-03,강원특별자치도,동해시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,강원특별자치도,동해시,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,강원특별자치도,동해시,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,강원특별자치도,동해시,18,순직·공상공무원,순직공무원,28,0,28
2025-03,강원특별자치도,동해시,19,순직·공상공무원,공상공무원,42,23,19
2025-03,강원특별자치도,동해시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,강원특별자치도,동해시,21,6·18자유상이자,6·18자유상이자,0,0,0
