기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,경기도,경기도,1,순국선열,건국훈장,190,0,190
2025-03,경기도,경기도,2,순국선열,건국포장,2,0,2
2025-03,경기도,경기도,3,순국선열,대통령표창,11,0,11
2025-03,경기도,경기도,4,애국지사,건국훈장,1252,1,1251
2025-03,경기도,경기도,5,애국지사,건국포장,171,0,171
2025-03,경기도,경기도,6,애국지사,대통령표창,669,0,669
2025-03,경기도,경기도,7,전몰·전상·순직·공상군경,전몰군경,7042,0,7042
2025-03,경기도,경기도,8,전몰·전상·순직·공상군경,전상군경,33406,11700,21706
2025-03,경기도,경기도,9,전몰·전상·순직·공상군경,순직군경,3306,0,3306
2025-03,경기도,경기도,10,전몰·전상·순직·공상군경,공상군경,16285,12072,4213
2025-03,경기도,경기도,11,고엽제후유증,고엽제후유증,13235,6950,6285
2025-03,경기도,경기도,12,무공수훈자,무공수훈자,23236,3148,20088
2025-03,경기도,경기도,13,보국수훈자,보국수훈자,14986,12779,2207
2025-03,경기도,경기도,14,재일학도의용군인,재일학도의용군인,67,0,67
2025-03,경기도,경기도,15,4.19혁명유공자,4·19혁명사망자,7,0,7
2025-03,경기도,경기도,16,4.19혁명유공자,4·19혁명부상자,113,47,66
2025-03,경기도,경기도,17,4.19혁명유공자,4·19혁명공로자,139,69,70
2025-03,경기도,경기도,18,순직·공상공무원,순직공무원,1692,0,1692
2025-03,경기도,경기도,19,순직·공상공무원,공상공무원,1097,540,557
2025-03,경기도,경기도,20,특별공로순직자,특별공로순직자,5,0,5
2025-03,경기도,경기도,21,6·18자유상이자,6·18자유상이자,118,4,114
2025-03,경기도,경기도,22,지원대상자,지원순직군경,20,0,20
2025-03,경기도,경기도,23,지원대상자,지원공상군경,460,435,25
2025-03,경기도,경기도,24,지원대상자,지원순직공무원,37,0,37
2025-03,경기도,경기도,25,지원대상자,지원공상공무원,87,68,19
2025-03,경기도,경기도,26,보훈보상대상자,재해사망군경,328,0,328
2025-03,경기도,경기도,27,보훈보상대상자,재해부상군경,1824,1699,125
2025-03,경기도,경기도,28,보훈보상대상자,재해사망공무원,50,0,50
2025-03,경기도,경기도,29,보훈보상대상자,재해부상공무원,57,51,6
2025-03,경기도,경기도,30,참전유공자,6·25전쟁,7382,7382,0
2025-03,경기도,경기도,31,참전유공자,월남전쟁,37732,37732,0
2025-03,경기도,경기도,32,참전유공자,6.25및월남전쟁,349,349,0
2025-03,경기도,경기도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,8125,8125,0
2025-03,경기도,경기도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,29,29,0
2025-03,경기도,경기도,35,5.18민주유공자,5·18사망자 또는 행불자,23,0,23
2025-03,경기도,경기도,36,5.18민주유공자,5·18부상자,293,214,79
2025-03,경기도,경기도,37,5.18민주유공자,5·18희생자,271,230,41
2025-03,경기도,경기도,38,특수임무유공자,특수임무사망자 또는 행불자,7,0,7
2025-03,경기도,경기도,39,특수임무유공자,특수임무부상자,308,269,39
2025-03,경기도,경기도,40,특수임무유공자,특수임무공로자,708,471,237
2025-03,경기도,경기도,41,중·장기복무제대군인,중·장기복무제대군인,36680,36680,0
2025-03,경기도,가평군,1,순국선열,건국훈장,2,0,2
2025-03,경기도,가평군,2,순국선열,건국포장,0,0,0
2025-03,경기도,가평군,3,순국선열,대통령표창,0,0,0
2025-03,경기도,가평군,4,애국지사,건국훈장,10,0,10
2025-03,경기도,가평군,5,애국지사,건국포장,2,0,2
2025-03,경기도,가평군,6,애국지사,대통령표창,7,0,7
2025-03,경기도,가평군,7,전몰·전상·순직·공상군경,전몰군경,80,0,80
2025-03,경기도,가평군,8,전몰·전상·순직·공상군경,전상군경,302,110,192
2025-03,경기도,가평군,9,전몰·전상·순직·공상군경,순직군경,22,0,22
2025-03,경기도,가평군,10,전몰·전상·순직·공상군경,공상군경,125,76,49
2025-03,경기도,가평군,11,고엽제후유증,고엽제후유증,126,67,59
2025-03,경기도,가평군,12,무공수훈자,무공수훈자,157,22,135
2025-03,경기도,가평군,13,보국수훈자,보국수훈자,169,140,29
2025-03,경기도,가평군,14,재일학도의용군인,재일학도의용군인,1,0,1
2025-03,경기도,가평군,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,경기도,가평군,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,경기도,가평군,17,4.19혁명유공자,4·19혁명공로자,1,0,1
2025-03,경기도,가평군,18,순직·공상공무원,순직공무원,11,0,11
2025-03,경기도,가평군,19,순직·공상공무원,공상공무원,11,2,9
2025-03,경기도,가평군,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경기도,가평군,21,6·18자유상이자,6·18자유상이자,1,0,1
2025-03,경기도,가평군,22,지원대상자,지원순직군경,0,0,0
2025-03,경기도,가평군,23,지원대상자,지원공상군경,1,1,0
2025-03,경기도,가평군,24,지원대상자,지원순직공무원,0,0,0
2025-03,경기도,가평군,25,지원대상자,지원공상공무원,2,2,0
2025-03,경기도,가평군,26,보훈보상대상자,재해사망군경,5,0,5
2025-03,경기도,가평군,27,보훈보상대상자,재해부상군경,8,7,1
2025-03,경기도,가평군,28,보훈보상대상자,재해사망공무원,2,0,2
2025-03,경기도,가평군,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,경기도,가평군,30,참전유공자,6·25전쟁,92,92,0
2025-03,경기도,가평군,31,참전유공자,월남전쟁,315,315,0
2025-03,경기도,가평군,32,참전유공자,6.25및월남전쟁,2,2,0
2025-03,경기도,가평군,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,73,73,0
2025-03,경기도,가평군,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,1,1,0
2025-03,경기도,가평군,35,5.18민주유공자,5·18사망자 또는 행불자,1,0,1
2025-03,경기도,가평군,36,5.18민주유공자,5·18부상자,1,1,0
2025-03,경기도,가평군,37,5.18민주유공자,5·18희생자,1,1,0
2025-03,경기도,가평군,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,경기도,가평군,39,특수임무유공자,특수임무부상자,3,3,0
2025-03,경기도,가평군,40,특수임무유공자,특수임무공로자,7,4,3
2025-03,경기도,가평군,41,중·장기복무제대군인,중·장기복무제대군인,335,335,0
2025-03,경기도,고양시 덕양구,1,순국선열,건국훈장,6,0,6
2025-03,경기도,고양시 덕양구,2,순국선열,건국포장,0,0,0
2025-03,경기도,고양시 덕양구,3,순국선열,대통령표창,1,0,1
2025-03,경기도,고양시 덕양구,4,애국지사,건국훈장,60,0,60
2025-03,경기도,고양시 덕양구,5,애국지사,건국포장,6,0,6
2025-03,경기도,고양시 덕양구,6,애국지사,대통령표창,28,0,28
2025-03,경기도,고양시 덕양구,7,전몰·전상·순직·공상군경,전몰군경,258,0,258
2025-03,경기도,고양시 덕양구,8,전몰·전상·순직·공상군경,전상군경,1354,480,874
2025-03,경기도,고양시 덕양구,9,전몰·전상·순직·공상군경,순직군경,138,0,138
2025-03,경기도,고양시 덕양구,10,전몰·전상·순직·공상군경,공상군경,640,471,169
2025-03,경기도,고양시 덕양구,11,고엽제후유증,고엽제후유증,582,312,270
2025-03,경기도,고양시 덕양구,12,무공수훈자,무공수훈자,1001,120,881
2025-03,경기도,고양시 덕양구,13,보국수훈자,보국수훈자,599,518,81
2025-03,경기도,고양시 덕양구,14,재일학도의용군인,재일학도의용군인,1,0,1
2025-03,경기도,고양시 덕양구,15,4.19혁명유공자,4·19혁명사망자,1,0,1
2025-03,경기도,고양시 덕양구,16,4.19혁명유공자,4·19혁명부상자,7,3,4
2025-03,경기도,고양시 덕양구,17,4.19혁명유공자,4·19혁명공로자,6,4,2
2025-03,경기도,고양시 덕양구,18,순직·공상공무원,순직공무원,79,0,79
2025-03,경기도,고양시 덕양구,19,순직·공상공무원,공상공무원,45,31,14
2025-03,경기도,고양시 덕양구,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경기도,고양시 덕양구,21,6·18자유상이자,6·18자유상이자,5,0,5
2025-03,경기도,고양시 덕양구,22,지원대상자,지원순직군경,0,0,0
2025-03,경기도,고양시 덕양구,23,지원대상자,지원공상군경,16,13,3
2025-03,경기도,고양시 덕양구,24,지원대상자,지원순직공무원,1,0,1
2025-03,경기도,고양시 덕양구,25,지원대상자,지원공상공무원,3,2,1
2025-03,경기도,고양시 덕양구,26,보훈보상대상자,재해사망군경,18,0,18
2025-03,경기도,고양시 덕양구,27,보훈보상대상자,재해부상군경,72,64,8
2025-03,경기도,고양시 덕양구,28,보훈보상대상자,재해사망공무원,2,0,2
2025-03,경기도,고양시 덕양구,29,보훈보상대상자,재해부상공무원,6,4,2
2025-03,경기도,고양시 덕양구,30,참전유공자,6·25전쟁,337,337,0
2025-03,경기도,고양시 덕양구,31,참전유공자,월남전쟁,1609,1609,0
2025-03,경기도,고양시 덕양구,32,참전유공자,6.25및월남전쟁,16,16,0
2025-03,경기도,고양시 덕양구,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,343,343,0
2025-03,경기도,고양시 덕양구,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,경기도,고양시 덕양구,35,5.18민주유공자,5·18사망자 또는 행불자,2,0,2
2025-03,경기도,고양시 덕양구,36,5.18민주유공자,5·18부상자,18,12,6
2025-03,경기도,고양시 덕양구,37,5.18민주유공자,5·18희생자,10,8,2
