기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,경상남도,경상남도,1,순국선열,건국훈장,34,0,34
2025-03,경상남도,경상남도,2,순국선열,건국포장,3,0,3
2025-03,경상남도,경상남도,3,순국선열,대통령표창,1,0,1
2025-03,경상남도,경상남도,4,애국지사,건국훈장,151,0,151
2025-03,경상남도,경상남도,5,애국지사,건국포장,40,0,40
2025-03,경상남도,경상남도,6,애국지사,대통령표창,129,0,129
2025-03,경상남도,경상남도,7,전몰·전상·순직·공상군경,전몰군경,2468,0,2468
2025-03,경상남도,경상남도,8,전몰·전상·순직·공상군경,전상군경,11779,3439,8340
2025-03,경상남도,경상남도,9,전몰·전상·순직·공상군경,순직군경,1012,0,1012
2025-03,경상남도,경상남도,10,전몰·전상·순직·공상군경,공상군경,4472,3155,1317
2025-03,경상남도,경상남도,11,고엽제후유증,고엽제후유증,3922,2065,1857
2025-03,경상남도,경상남도,12,무공수훈자,무공수훈자,5593,569,5024
2025-03,경상남도,경상남도,13,보국수훈자,보국수훈자,5008,4391,617
2025-03,경상남도,경상남도,14,재일학도의용군인,재일학도의용군인,17,0,17
2025-03,경상남도,경상남도,15,4.19혁명유공자,4·19혁명사망자,1,0,1
2025-03,경상남도,경상남도,16,4.19혁명유공자,4·19혁명부상자,32,13,19
2025-03,경상남도,경상남도,17,4.19혁명유공자,4·19혁명공로자,37,9,28
2025-03,경상남도,경상남도,18,순직·공상공무원,순직공무원,520,0,520
2025-03,경상남도,경상남도,19,순직·공상공무원,공상공무원,441,259,182
2025-03,경상남도,경상남도,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경상남도,경상남도,21,6·18자유상이자,6·18자유상이자,4,0,4
2025-03,경상남도,경상남도,22,지원대상자,지원순직군경,16,0,16
2025-03,경상남도,경상남도,23,지원대상자,지원공상군경,108,103,5
2025-03,경상남도,경상남도,24,지원대상자,지원순직공무원,15,0,15
2025-03,경상남도,경상남도,25,지원대상자,지원공상공무원,52,43,9
2025-03,경상남도,경상남도,26,보훈보상대상자,재해사망군경,118,0,118
2025-03,경상남도,경상남도,27,보훈보상대상자,재해부상군경,398,348,50
2025-03,경상남도,경상남도,28,보훈보상대상자,재해사망공무원,20,0,20
2025-03,경상남도,경상남도,29,보훈보상대상자,재해부상공무원,32,28,4
2025-03,경상남도,경상남도,30,참전유공자,6·25전쟁,1551,1551,0
2025-03,경상남도,경상남도,31,참전유공자,월남전쟁,11105,11105,0
2025-03,경상남도,경상남도,32,참전유공자,6.25및월남전쟁,34,34,0
2025-03,경상남도,경상남도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,3344,3344,0
2025-03,경상남도,경상남도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,10,10,0
2025-03,경상남도,경상남도,35,5.18민주유공자,5·18사망자 또는 행불자,2,0,2
2025-03,경상남도,경상남도,36,5.18민주유공자,5·18부상자,33,20,13
2025-03,경상남도,경상남도,37,5.18민주유공자,5·18희생자,16,16,0
2025-03,경상남도,경상남도,38,특수임무유공자,특수임무사망자 또는 행불자,1,0,1
2025-03,경상남도,경상남도,39,특수임무유공자,특수임무부상자,107,97,10
2025-03,경상남도,경상남도,40,특수임무유공자,특수임무공로자,168,130,38
2025-03,경상남도,경상남도,41,중·장기복무제대군인,중·장기복무제대군인,8686,8686,0
2025-03,경상남도,거제시,1,순국선열,건국훈장,1,0,1
2025-03,경상남도,거제시,2,순국선열,건국포장,0,0,0
2025-03,경상남도,거제시,3,순국선열,대통령표창,0,0,0
2025-03,경상남도,거제시,4,애국지사,건국훈장,3,0,3
2025-03,경상남도,거제시,5,애국지사,건국포장,0,0,0
2025-03,경상남도,거제시,6,애국지사,대통령표창,6,0,6
2025-03,경상남도,거제시,7,전몰·전상·순직·공상군경,전몰군경,125,0,125
2025-03,경상남도,거제시,8,전몰·전상·순직·공상군경,전상군경,724,192,532
2025-03,경상남도,거제시,9,전몰·전상·순직·공상군경,순직군경,45,0,45
2025-03,경상남도,거제시,10,전몰·전상·순직·공상군경,공상군경,224,177,47
2025-03,경상남도,거제시,11,고엽제후유증,고엽제후유증,207,103,104
2025-03,경상남도,거제시,12,무공수훈자,무공수훈자,368,27,341
2025-03,경상남도,거제시,13,보국수훈자,보국수훈자,67,56,11
2025-03,경상남도,거제시,14,재일학도의용군인,재일학도의용군인,1,0,1
2025-03,경상남도,거제시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,경상남도,거제시,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,경상남도,거제시,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,경상남도,거제시,18,순직·공상공무원,순직공무원,19,0,19
2025-03,경상남도,거제시,19,순직·공상공무원,공상공무원,8,3,5
2025-03,경상남도,거제시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경상남도,거제시,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,경상남도,거제시,22,지원대상자,지원순직군경,3,0,3
2025-03,경상남도,거제시,23,지원대상자,지원공상군경,7,5,2
2025-03,경상남도,거제시,24,지원대상자,지원순직공무원,1,0,1
2025-03,경상남도,거제시,25,지원대상자,지원공상공무원,0,0,0
2025-03,경상남도,거제시,26,보훈보상대상자,재해사망군경,8,0,8
2025-03,경상남도,거제시,27,보훈보상대상자,재해부상군경,23,22,1
2025-03,경상남도,거제시,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,경상남도,거제시,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,경상남도,거제시,30,참전유공자,6·25전쟁,74,74,0
2025-03,경상남도,거제시,31,참전유공자,월남전쟁,591,591,0
2025-03,경상남도,거제시,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,경상남도,거제시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,169,169,0
2025-03,경상남도,거제시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,1,1,0
2025-03,경상남도,거제시,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,경상남도,거제시,36,5.18민주유공자,5·18부상자,1,0,1
2025-03,경상남도,거제시,37,5.18민주유공자,5·18희생자,2,2,0
2025-03,경상남도,거제시,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,경상남도,거제시,39,특수임무유공자,특수임무부상자,7,7,0
2025-03,경상남도,거제시,40,특수임무유공자,특수임무공로자,16,11,5
2025-03,경상남도,거제시,41,중·장기복무제대군인,중·장기복무제대군인,321,321,0
2025-03,경상남도,거창군,1,순국선열,건국훈장,6,0,6
2025-03,경상남도,거창군,2,순국선열,건국포장,0,0,0
2025-03,경상남도,거창군,3,순국선열,대통령표창,0,0,0
2025-03,경상남도,거창군,4,애국지사,건국훈장,5,0,5
2025-03,경상남도,거창군,5,애국지사,건국포장,2,0,2
2025-03,경상남도,거창군,6,애국지사,대통령표창,3,0,3
2025-03,경상남도,거창군,7,전몰·전상·순직·공상군경,전몰군경,55,0,55
2025-03,경상남도,거창군,8,전몰·전상·순직·공상군경,전상군경,306,94,212
2025-03,경상남도,거창군,9,전몰·전상·순직·공상군경,순직군경,29,0,29
2025-03,경상남도,거창군,10,전몰·전상·순직·공상군경,공상군경,110,80,30
2025-03,경상남도,거창군,11,고엽제후유증,고엽제후유증,99,64,35
2025-03,경상남도,거창군,12,무공수훈자,무공수훈자,91,8,83
2025-03,경상남도,거창군,13,보국수훈자,보국수훈자,46,37,9
2025-03,경상남도,거창군,14,재일학도의용군인,재일학도의용군인,1,0,1
2025-03,경상남도,거창군,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,경상남도,거창군,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,경상남도,거창군,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,경상남도,거창군,18,순직·공상공무원,순직공무원,15,0,15
2025-03,경상남도,거창군,19,순직·공상공무원,공상공무원,8,7,1
2025-03,경상남도,거창군,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경상남도,거창군,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,경상남도,거창군,22,지원대상자,지원순직군경,0,0,0
2025-03,경상남도,거창군,23,지원대상자,지원공상군경,3,3,0
2025-03,경상남도,거창군,24,지원대상자,지원순직공무원,0,0,0
2025-03,경상남도,거창군,25,지원대상자,지원공상공무원,3,2,1
2025-03,경상남도,거창군,26,보훈보상대상자,재해사망군경,6,0,6
2025-03,경상남도,거창군,27,보훈보상대상자,재해부상군경,8,6,2
2025-03,경상남도,거창군,28,보훈보상대상자,재해사망공무원,2,0,2
2025-03,경상남도,거창군,29,보훈보상대상자,재해부상공무원,1,1,0
2025-03,경상남도,거창군,30,참전유공자,6·25전쟁,93,93,0
2025-03,경상남도,거창군,31,참전유공자,월남전쟁,217,217,0
2025-03,경상남도,거창군,32,참전유공자,6.25및월남전쟁,1,1,0
2025-03,경상남도,거창군,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,73,73,0
2025-03,경상남도,거창군,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,경상남도,거창군,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,경상남도,거창군,36,5.18민주유공자,5·18부상자,2,2,0
2025-03,경상남도,거창군,37,5.18민주유공자,5·18희생자,2,2,0
2025-03,경상남도,거창군,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,경상남도,거창군,39,특수임무유공자,특수임무부상자,2,2,0
2025-03,경상남도,거창군,40,특수임무유공자,특수임무공로자,1,1,0
2025-03,경상남도,거창군,41,중·장기복무제대군인,중·장기복무제대군인,79,79,0
2025-03,경상남도,고성군(경남),1,순국선열,건국훈장,1,0,1
2025-03,경상남도,고성군(경남),2,순국선열,건국포장,1,0,1
2025-03,경상남도,고성군(경남),3,순국선열,대통령표창,1,0,1
2025-03,경상남도,고성군(경남),4,애국지사,건국훈장,5,0,5
2025-03,경상남도,고성군(경남),5,애국지사,건국포장,2,0,2
2025-03,경상남도,고성군(경남),6,애국지사,대통령표창,3,0,3
2025-03,경상남도,고성군(경남),7,전몰·전상·순직·공상군경,전몰군경,47,0,47
2025-03,경상남도,고성군(경남),8,전몰·전상·순직·공상군경,전상군경,269,83,186
2025-03,경상남도,고성군(경남),9,전몰·전상·순직·공상군경,순직군경,22,0,22
2025-03,경상남도,고성군(경남),10,전몰·전상·순직·공상군경,공상군경,78,53,25
2025-03,경상남도,고성군(경남),11,고엽제후유증,고엽제후유증,76,48,28
2025-03,경상남도,고성군(경남),12,무공수훈자,무공수훈자,105,14,91
2025-03,경상남도,고성군(경남),13,보국수훈자,보국수훈자,42,37,5
2025-03,경상남도,고성군(경남),14,재일학도의용군인,재일학도의용군인,2,0,2
2025-03,경상남도,고성군(경남),15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,경상남도,고성군(경남),16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,경상남도,고성군(경남),17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,경상남도,고성군(경남),18,순직·공상공무원,순직공무원,7,0,7
2025-03,경상남도,고성군(경남),19,순직·공상공무원,공상공무원,5,4,1
2025-03,경상남도,고성군(경남),20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경상남도,고성군(경남),21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,경상남도,고성군(경남),22,지원대상자,지원순직군경,1,0,1
2025-03,경상남도,고성군(경남),23,지원대상자,지원공상군경,1,1,0
2025-03,경상남도,고성군(경남),24,지원대상자,지원순직공무원,1,0,1
2025-03,경상남도,고성군(경남),25,지원대상자,지원공상공무원,1,1,0
2025-03,경상남도,고성군(경남),26,보훈보상대상자,재해사망군경,3,0,3
2025-03,경상남도,고성군(경남),27,보훈보상대상자,재해부상군경,7,6,1
2025-03,경상남도,고성군(경남),28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,경상남도,고성군(경남),29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,경상남도,고성군(경남),30,참전유공자,6·25전쟁,48,48,0
2025-03,경상남도,고성군(경남),31,참전유공자,월남전쟁,243,243,0
2025-03,경상남도,고성군(경남),32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,경상남도,고성군(경남),33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,74,74,0
