기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,경상북도,경상북도,1,순국선열,건국훈장,55,0,55
2025-03,경상북도,경상북도,2,순국선열,건국포장,1,0,1
2025-03,경상북도,경상북도,3,순국선열,대통령표창,1,0,1
2025-03,경상북도,경상북도,4,애국지사,건국훈장,240,0,240
2025-03,경상북도,경상북도,5,애국지사,건국포장,61,0,61
2025-03,경상북도,경상북도,6,애국지사,대통령표창,167,0,167
2025-03,경상북도,경상북도,7,전몰·전상·순직·공상군경,전몰군경,2501,0,2501
2025-03,경상북도,경상북도,8,전몰·전상·순직·공상군경,전상군경,12481,4017,8464
2025-03,경상북도,경상북도,9,전몰·전상·순직·공상군경,순직군경,920,0,920
2025-03,경상북도,경상북도,10,전몰·전상·순직·공상군경,공상군경,4056,2760,1296
2025-03,경상북도,경상북도,11,고엽제후유증,고엽제후유증,4553,2726,1827
2025-03,경상북도,경상북도,12,무공수훈자,무공수훈자,5094,584,4510
2025-03,경상북도,경상북도,13,보국수훈자,보국수훈자,2328,2083,245
2025-03,경상북도,경상북도,14,재일학도의용군인,재일학도의용군인,6,0,6
2025-03,경상북도,경상북도,15,4.19혁명유공자,4·19혁명사망자,1,0,1
2025-03,경상북도,경상북도,16,4.19혁명유공자,4·19혁명부상자,3,0,3
2025-03,경상북도,경상북도,17,4.19혁명유공자,4·19혁명공로자,10,5,5
2025-03,경상북도,경상북도,18,순직·공상공무원,순직공무원,540,0,540
2025-03,경상북도,경상북도,19,순직·공상공무원,공상공무원,439,231,208
2025-03,경상북도,경상북도,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경상북도,경상북도,21,6·18자유상이자,6·18자유상이자,12,0,12
2025-03,경상북도,경상북도,22,지원대상자,지원순직군경,13,0,13
2025-03,경상북도,경상북도,23,지원대상자,지원공상군경,101,90,11
2025-03,경상북도,경상북도,24,지원대상자,지원순직공무원,13,0,13
2025-03,경상북도,경상북도,25,지원대상자,지원공상공무원,51,46,5
2025-03,경상북도,경상북도,26,보훈보상대상자,재해사망군경,103,0,103
2025-03,경상북도,경상북도,27,보훈보상대상자,재해부상군경,366,329,37
2025-03,경상북도,경상북도,28,보훈보상대상자,재해사망공무원,14,0,14
2025-03,경상북도,경상북도,29,보훈보상대상자,재해부상공무원,15,14,1
2025-03,경상북도,경상북도,30,참전유공자,6·25전쟁,2004,2004,0
2025-03,경상북도,경상북도,31,참전유공자,월남전쟁,9381,9381,0
2025-03,경상북도,경상북도,32,참전유공자,6.25및월남전쟁,30,30,0
2025-03,경상북도,경상북도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,3648,3648,0
2025-03,경상북도,경상북도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,18,18,0
2025-03,경상북도,경상북도,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,경상북도,경상북도,36,5.18민주유공자,5·18부상자,17,13,4
2025-03,경상북도,경상북도,37,5.18민주유공자,5·18희생자,18,15,3
2025-03,경상북도,경상북도,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,경상북도,경상북도,39,특수임무유공자,특수임무부상자,77,69,8
2025-03,경상북도,경상북도,40,특수임무유공자,특수임무공로자,99,63,36
2025-03,경상북도,경상북도,41,중·장기복무제대군인,중·장기복무제대군인,5754,5754,0
2025-03,경상북도,경산시,1,순국선열,건국훈장,4,0,4
2025-03,경상북도,경산시,2,순국선열,건국포장,0,0,0
2025-03,경상북도,경산시,3,순국선열,대통령표창,0,0,0
2025-03,경상북도,경산시,4,애국지사,건국훈장,28,0,28
2025-03,경상북도,경산시,5,애국지사,건국포장,5,0,5
2025-03,경상북도,경산시,6,애국지사,대통령표창,11,0,11
2025-03,경상북도,경산시,7,전몰·전상·순직·공상군경,전몰군경,265,0,265
2025-03,경상북도,경산시,8,전몰·전상·순직·공상군경,전상군경,1148,395,753
2025-03,경상북도,경산시,9,전몰·전상·순직·공상군경,순직군경,83,0,83
2025-03,경상북도,경산시,10,전몰·전상·순직·공상군경,공상군경,401,276,125
2025-03,경상북도,경산시,11,고엽제후유증,고엽제후유증,430,257,173
2025-03,경상북도,경산시,12,무공수훈자,무공수훈자,458,60,398
2025-03,경상북도,경산시,13,보국수훈자,보국수훈자,447,410,37
2025-03,경상북도,경산시,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,경상북도,경산시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,경상북도,경산시,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,경상북도,경산시,17,4.19혁명유공자,4·19혁명공로자,3,0,3
2025-03,경상북도,경산시,18,순직·공상공무원,순직공무원,56,0,56
2025-03,경상북도,경산시,19,순직·공상공무원,공상공무원,38,19,19
2025-03,경상북도,경산시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경상북도,경산시,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,경상북도,경산시,22,지원대상자,지원순직군경,0,0,0
2025-03,경상북도,경산시,23,지원대상자,지원공상군경,14,14,0
2025-03,경상북도,경산시,24,지원대상자,지원순직공무원,1,0,1
2025-03,경상북도,경산시,25,지원대상자,지원공상공무원,3,3,0
2025-03,경상북도,경산시,26,보훈보상대상자,재해사망군경,11,0,11
2025-03,경상북도,경산시,27,보훈보상대상자,재해부상군경,47,45,2
2025-03,경상북도,경산시,28,보훈보상대상자,재해사망공무원,2,0,2
2025-03,경상북도,경산시,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,경상북도,경산시,30,참전유공자,6·25전쟁,133,133,0
2025-03,경상북도,경산시,31,참전유공자,월남전쟁,880,880,0
2025-03,경상북도,경산시,32,참전유공자,6.25및월남전쟁,4,4,0
2025-03,경상북도,경산시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,352,352,0
2025-03,경상북도,경산시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,3,3,0
2025-03,경상북도,경산시,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,경상북도,경산시,36,5.18민주유공자,5·18부상자,3,3,0
2025-03,경상북도,경산시,37,5.18민주유공자,5·18희생자,0,0,0
2025-03,경상북도,경산시,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,경상북도,경산시,39,특수임무유공자,특수임무부상자,5,4,1
2025-03,경상북도,경산시,40,특수임무유공자,특수임무공로자,10,8,2
2025-03,경상북도,경산시,41,중·장기복무제대군인,중·장기복무제대군인,835,835,0
2025-03,경상북도,경주시,1,순국선열,건국훈장,3,0,3
2025-03,경상북도,경주시,2,순국선열,건국포장,0,0,0
2025-03,경상북도,경주시,3,순국선열,대통령표창,0,0,0
2025-03,경상북도,경주시,4,애국지사,건국훈장,8,0,8
2025-03,경상북도,경주시,5,애국지사,건국포장,5,0,5
2025-03,경상북도,경주시,6,애국지사,대통령표창,8,0,8
2025-03,경상북도,경주시,7,전몰·전상·순직·공상군경,전몰군경,332,0,332
2025-03,경상북도,경주시,8,전몰·전상·순직·공상군경,전상군경,1491,416,1075
2025-03,경상북도,경주시,9,전몰·전상·순직·공상군경,순직군경,86,0,86
2025-03,경상북도,경주시,10,전몰·전상·순직·공상군경,공상군경,459,304,155
2025-03,경상북도,경주시,11,고엽제후유증,고엽제후유증,481,298,183
2025-03,경상북도,경주시,12,무공수훈자,무공수훈자,602,62,540
2025-03,경상북도,경주시,13,보국수훈자,보국수훈자,97,84,13
2025-03,경상북도,경주시,14,재일학도의용군인,재일학도의용군인,1,0,1
2025-03,경상북도,경주시,15,4.19혁명유공자,4·19혁명사망자,1,0,1
2025-03,경상북도,경주시,16,4.19혁명유공자,4·19혁명부상자,1,0,1
2025-03,경상북도,경주시,17,4.19혁명유공자,4·19혁명공로자,1,1,0
2025-03,경상북도,경주시,18,순직·공상공무원,순직공무원,63,0,63
2025-03,경상북도,경주시,19,순직·공상공무원,공상공무원,50,20,30
2025-03,경상북도,경주시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경상북도,경주시,21,6·18자유상이자,6·18자유상이자,1,0,1
2025-03,경상북도,경주시,22,지원대상자,지원순직군경,3,0,3
2025-03,경상북도,경주시,23,지원대상자,지원공상군경,10,10,0
2025-03,경상북도,경주시,24,지원대상자,지원순직공무원,1,0,1
2025-03,경상북도,경주시,25,지원대상자,지원공상공무원,4,4,0
2025-03,경상북도,경주시,26,보훈보상대상자,재해사망군경,10,0,10
2025-03,경상북도,경주시,27,보훈보상대상자,재해부상군경,34,29,5
2025-03,경상북도,경주시,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,경상북도,경주시,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,경상북도,경주시,30,참전유공자,6·25전쟁,207,207,0
2025-03,경상북도,경주시,31,참전유공자,월남전쟁,974,974,0
2025-03,경상북도,경주시,32,참전유공자,6.25및월남전쟁,1,1,0
2025-03,경상북도,경주시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,398,398,0
2025-03,경상북도,경주시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,1,1,0
2025-03,경상북도,경주시,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,경상북도,경주시,36,5.18민주유공자,5·18부상자,0,0,0
2025-03,경상북도,경주시,37,5.18민주유공자,5·18희생자,4,3,1
2025-03,경상북도,경주시,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,경상북도,경주시,39,특수임무유공자,특수임무부상자,8,8,0
2025-03,경상북도,경주시,40,특수임무유공자,특수임무공로자,8,5,3
2025-03,경상북도,경주시,41,중·장기복무제대군인,중·장기복무제대군인,359,359,0
2025-03,경상북도,고령군,1,순국선열,건국훈장,0,0,0
2025-03,경상북도,고령군,2,순국선열,건국포장,0,0,0
2025-03,경상북도,고령군,3,순국선열,대통령표창,0,0,0
2025-03,경상북도,고령군,4,애국지사,건국훈장,4,0,4
2025-03,경상북도,고령군,5,애국지사,건국포장,3,0,3
2025-03,경상북도,고령군,6,애국지사,대통령표창,5,0,5
2025-03,경상북도,고령군,7,전몰·전상·순직·공상군경,전몰군경,32,0,32
2025-03,경상북도,고령군,8,전몰·전상·순직·공상군경,전상군경,247,69,178
2025-03,경상북도,고령군,9,전몰·전상·순직·공상군경,순직군경,14,0,14
2025-03,경상북도,고령군,10,전몰·전상·순직·공상군경,공상군경,55,29,26
2025-03,경상북도,고령군,11,고엽제후유증,고엽제후유증,81,49,32
2025-03,경상북도,고령군,12,무공수훈자,무공수훈자,95,5,90
2025-03,경상북도,고령군,13,보국수훈자,보국수훈자,13,11,2
2025-03,경상북도,고령군,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,경상북도,고령군,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,경상북도,고령군,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,경상북도,고령군,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,경상북도,고령군,18,순직·공상공무원,순직공무원,4,0,4
2025-03,경상북도,고령군,19,순직·공상공무원,공상공무원,4,3,1
2025-03,경상북도,고령군,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,경상북도,고령군,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,경상북도,고령군,22,지원대상자,지원순직군경,0,0,0
2025-03,경상북도,고령군,23,지원대상자,지원공상군경,3,2,1
2025-03,경상북도,고령군,24,지원대상자,지원순직공무원,0,0,0
2025-03,경상북도,고령군,25,지원대상자,지원공상공무원,1,1,0
2025-03,경상북도,고령군,26,보훈보상대상자,재해사망군경,1,0,1
2025-03,경상북도,고령군,27,보훈보상대상자,재해부상군경,5,5,0
2025-03,경상북도,고령군,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,경상북도,고령군,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,경상북도,고령군,30,참전유공자,6·25전쟁,54,54,0
2025-03,경상북도,고령군,31,참전유공자,월남전쟁,132,132,0
2025-03,경상북도,고령군,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,경상북도,고령군,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,63,63,0
2025-03,경상북도,고령군,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,1,1,0
2025-03,경상북도,고령군,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,경상북도,고령군,36,5.18민주유공자,5·18부상자,0,0,0
2025-03,경상북도,고령군,37,5.18민주유공자,5·18희생자,1,1,0
2025-03,경상북도,고령군,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,경상북도,고령군,39,특수임무유공자,특수임무부상자,2,2,0
2025-03,경상북도,고령군,40,특수임무유공자,특수임무공로자,0,0,0
2025-03,경상북도,고령군,41,중·장기복무제대군인,중·장기복무제대군인,43,43,0
2025-03,경상북도,구미시,1,순국선열,건국훈장,2,0,2
2025-03,경상북도,구미시,2,순국선열,건국포장,0,0,0
2025-03,경상북도,구미시,3,순국선열,대통령표창,0,0,0
2025-03,경상북도,구미시,4,애국지사,건국훈장,10,0,10
2025-03,경상북도,구미시,5,애국지사,건국포장,1,0,1
2025-03,경상북도,구미시,6,애국지사,대통령표창,11,0,11
2025-03,경상북도,구미시,7,전몰·전상·순직·공상군경,전몰군경,189,0,189
2025-03,경상북도,구미시,8,전몰·전상·순직·공상군경,전상군경,1016,298,718
2025-03,경상북도,구미시,9,전몰·전상·순직·공상군경,순직군경,77,0,77
2025-03,경상북도,구미시,10,전몰·전상·순직·공상군경,공상군경,425,334,91
2025-03,경상북도,구미시,11,고엽제후유증,고엽제후유증,341,197,144
2025-03,경상북도,구미시,12,무공수훈자,무공수훈자,447,41,406
2025-03,경상북도,구미시,13,보국수훈자,보국수훈자,83,68,15
