기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,광주광역시,광주광역시,1,순국선열,건국훈장,17,0,17
2025-03,광주광역시,광주광역시,2,순국선열,건국포장,0,0,0
2025-03,광주광역시,광주광역시,3,순국선열,대통령표창,0,0,0
2025-03,광주광역시,광주광역시,4,애국지사,건국훈장,112,0,112
2025-03,광주광역시,광주광역시,5,애국지사,건국포장,25,0,25
2025-03,광주광역시,광주광역시,6,애국지사,대통령표창,79,0,79
2025-03,광주광역시,광주광역시,7,전몰·전상·순직·공상군경,전몰군경,1027,0,1027
2025-03,광주광역시,광주광역시,8,전몰·전상·순직·공상군경,전상군경,4428,1691,2737
2025-03,광주광역시,광주광역시,9,전몰·전상·순직·공상군경,순직군경,439,0,439
2025-03,광주광역시,광주광역시,10,전몰·전상·순직·공상군경,공상군경,2413,1792,621
2025-03,광주광역시,광주광역시,11,고엽제후유증,고엽제후유증,1816,1017,799
2025-03,광주광역시,광주광역시,12,무공수훈자,무공수훈자,1409,206,1203
2025-03,광주광역시,광주광역시,13,보국수훈자,보국수훈자,989,847,142
2025-03,광주광역시,광주광역시,14,재일학도의용군인,재일학도의용군인,3,0,3
2025-03,광주광역시,광주광역시,15,4.19혁명유공자,4·19혁명사망자,1,0,1
2025-03,광주광역시,광주광역시,16,4.19혁명유공자,4·19혁명부상자,6,3,3
2025-03,광주광역시,광주광역시,17,4.19혁명유공자,4·19혁명공로자,8,5,3
2025-03,광주광역시,광주광역시,18,순직·공상공무원,순직공무원,421,0,421
2025-03,광주광역시,광주광역시,19,순직·공상공무원,공상공무원,214,113,101
2025-03,광주광역시,광주광역시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,광주광역시,광주광역시,21,6·18자유상이자,6·18자유상이자,10,0,10
2025-03,광주광역시,광주광역시,22,지원대상자,지원순직군경,5,0,5
2025-03,광주광역시,광주광역시,23,지원대상자,지원공상군경,65,59,6
2025-03,광주광역시,광주광역시,24,지원대상자,지원순직공무원,13,0,13
2025-03,광주광역시,광주광역시,25,지원대상자,지원공상공무원,30,22,8
2025-03,광주광역시,광주광역시,26,보훈보상대상자,재해사망군경,42,0,42
2025-03,광주광역시,광주광역시,27,보훈보상대상자,재해부상군경,202,186,16
