기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,대구광역시,대구광역시,1,순국선열,건국훈장,31,0,31
2025-03,대구광역시,대구광역시,2,순국선열,건국포장,1,0,1
2025-03,대구광역시,대구광역시,3,순국선열,대통령표창,1,0,1
2025-03,대구광역시,대구광역시,4,애국지사,건국훈장,214,0,214
2025-03,대구광역시,대구광역시,5,애국지사,건국포장,60,0,60
2025-03,대구광역시,대구광역시,6,애국지사,대통령표창,142,0,142
2025-03,대구광역시,대구광역시,7,전몰·전상·순직·공상군경,전몰군경,2328,0,2328
2025-03,대구광역시,대구광역시,8,전몰·전상·순직·공상군경,전상군경,10306,3600,6706
2025-03,대구광역시,대구광역시,9,전몰·전상·순직·공상군경,순직군경,700,0,700
2025-03,대구광역시,대구광역시,10,전몰·전상·순직·공상군경,공상군경,3549,2544,1005
2025-03,대구광역시,대구광역시,11,고엽제후유증,고엽제후유증,4078,2376,1702
2025-03,대구광역시,대구광역시,12,무공수훈자,무공수훈자,4340,515,3825
2025-03,대구광역시,대구광역시,13,보국수훈자,보국수훈자,1831,1585,246
2025-03,대구광역시,대구광역시,14,재일학도의용군인,재일학도의용군인,6,1,5
2025-03,대구광역시,대구광역시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,대구광역시,대구광역시,16,4.19혁명유공자,4·19혁명부상자,9,3,6
2025-03,대구광역시,대구광역시,17,4.19혁명유공자,4·19혁명공로자,21,7,14
2025-03,대구광역시,대구광역시,18,순직·공상공무원,순직공무원,445,0,445
2025-03,대구광역시,대구광역시,19,순직·공상공무원,공상공무원,283,155,128
2025-03,대구광역시,대구광역시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,대구광역시,대구광역시,21,6·18자유상이자,6·18자유상이자,12,2,10
2025-03,대구광역시,대구광역시,22,지원대상자,지원순직군경,13,0,13
2025-03,대구광역시,대구광역시,23,지원대상자,지원공상군경,112,105,7
2025-03,대구광역시,대구광역시,24,지원대상자,지원순직공무원,14,0,14
2025-03,대구광역시,대구광역시,25,지원대상자,지원공상공무원,29,28,1
2025-03,대구광역시,대구광역시,26,보훈보상대상자,재해사망군경,79,0,79
2025-03,대구광역시,대구광역시,27,보훈보상대상자,재해부상군경,326,296,30
2025-03,대구광역시,대구광역시,28,보훈보상대상자,재해사망공무원,9,0,9
2025-03,대구광역시,대구광역시,29,보훈보상대상자,재해부상공무원,11,11,0
2025-03,대구광역시,대구광역시,30,참전유공자,6·25전쟁,1217,1217,0
2025-03,대구광역시,대구광역시,31,참전유공자,월남전쟁,7340,7340,0
2025-03,대구광역시,대구광역시,32,참전유공자,6.25및월남전쟁,31,31,0
2025-03,대구광역시,대구광역시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,3204,3204,0
2025-03,대구광역시,대구광역시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,22,22,0
2025-03,대구광역시,대구광역시,35,5.18민주유공자,5·18사망자 또는 행불자,1,0,1
2025-03,대구광역시,대구광역시,36,5.18민주유공자,5·18부상자,22,17,5
2025-03,대구광역시,대구광역시,37,5.18민주유공자,5·18희생자,23,14,9
2025-03,대구광역시,대구광역시,38,특수임무유공자,특수임무사망자 또는 행불자,1,0,1
2025-03,대구광역시,대구광역시,39,특수임무유공자,특수임무부상자,67,63,4
2025-03,대구광역시,대구광역시,40,특수임무유공자,특수임무공로자,68,47,21
2025-03,대구광역시,대구광역시,41,중·장기복무제대군인,중·장기복무제대군인,4975,4975,0
2025-03,대구광역시,군위군,1,순국선열,건국훈장,1,0,1
2025-03,대구광역시,군위군,2,순국선열,건국포장,0,0,0
2025-03,대구광역시,군위군,3,순국선열,대통령표창,0,0,0
2025-03,대구광역시,군위군,4,애국지사,건국훈장,3,0,3
2025-03,대구광역시,군위군,5,애국지사,건국포장,1,0,1
2025-03,대구광역시,군위군,6,애국지사,대통령표창,1,0,1
2025-03,대구광역시,군위군,7,전몰·전상·순직·공상군경,전몰군경,43,0,43
2025-03,대구광역시,군위군,8,전몰·전상·순직·공상군경,전상군경,238,93,145
2025-03,대구광역시,군위군,9,전몰·전상·순직·공상군경,순직군경,17,0,17
2025-03,대구광역시,군위군,10,전몰·전상·순직·공상군경,공상군경,58,41,17
2025-03,대구광역시,군위군,11,고엽제후유증,고엽제후유증,101,67,34
2025-03,대구광역시,군위군,12,무공수훈자,무공수훈자,87,17,70
2025-03,대구광역시,군위군,13,보국수훈자,보국수훈자,24,22,2
2025-03,대구광역시,군위군,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,대구광역시,군위군,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,대구광역시,군위군,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,대구광역시,군위군,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,대구광역시,군위군,18,순직·공상공무원,순직공무원,3,0,3
2025-03,대구광역시,군위군,19,순직·공상공무원,공상공무원,6,4,2
2025-03,대구광역시,군위군,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,대구광역시,군위군,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,대구광역시,군위군,22,지원대상자,지원순직군경,0,0,0
2025-03,대구광역시,군위군,23,지원대상자,지원공상군경,0,0,0
2025-03,대구광역시,군위군,24,지원대상자,지원순직공무원,0,0,0
2025-03,대구광역시,군위군,25,지원대상자,지원공상공무원,1,1,0
2025-03,대구광역시,군위군,26,보훈보상대상자,재해사망군경,1,0,1
2025-03,대구광역시,군위군,27,보훈보상대상자,재해부상군경,6,6,0
2025-03,대구광역시,군위군,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,대구광역시,군위군,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,대구광역시,군위군,30,참전유공자,6·25전쟁,40,40,0
2025-03,대구광역시,군위군,31,참전유공자,월남전쟁,176,176,0
2025-03,대구광역시,군위군,32,참전유공자,6.25및월남전쟁,1,1,0
2025-03,대구광역시,군위군,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,69,69,0
2025-03,대구광역시,군위군,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,대구광역시,군위군,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,대구광역시,군위군,36,5.18민주유공자,5·18부상자,0,0,0
2025-03,대구광역시,군위군,37,5.18민주유공자,5·18희생자,0,0,0
2025-03,대구광역시,군위군,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
