기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,대전광역시,대전광역시,1,순국선열,건국훈장,22,0,22
2025-03,대전광역시,대전광역시,2,순국선열,건국포장,0,0,0
2025-03,대전광역시,대전광역시,3,순국선열,대통령표창,6,0,6
2025-03,대전광역시,대전광역시,4,애국지사,건국훈장,100,0,100
2025-03,대전광역시,대전광역시,5,애국지사,건국포장,13,0,13
2025-03,대전광역시,대전광역시,6,애국지사,대통령표창,67,0,67
2025-03,대전광역시,대전광역시,7,전몰·전상·순직·공상군경,전몰군경,885,0,885
2025-03,대전광역시,대전광역시,8,전몰·전상·순직·공상군경,전상군경,4182,1525,2657
2025-03,대전광역시,대전광역시,9,전몰·전상·순직·공상군경,순직군경,500,0,500
2025-03,대전광역시,대전광역시,10,전몰·전상·순직·공상군경,공상군경,2022,1464,558
2025-03,대전광역시,대전광역시,11,고엽제후유증,고엽제후유증,1811,991,820
2025-03,대전광역시,대전광역시,12,무공수훈자,무공수훈자,2270,352,1918
2025-03,대전광역시,대전광역시,13,보국수훈자,보국수훈자,1946,1729,217
2025-03,대전광역시,대전광역시,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,대전광역시,대전광역시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,대전광역시,대전광역시,16,4.19혁명유공자,4·19혁명부상자,4,2,2
2025-03,대전광역시,대전광역시,17,4.19혁명유공자,4·19혁명공로자,9,5,4
2025-03,대전광역시,대전광역시,18,순직·공상공무원,순직공무원,394,0,394
2025-03,대전광역시,대전광역시,19,순직·공상공무원,공상공무원,327,178,149
2025-03,대전광역시,대전광역시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,대전광역시,대전광역시,21,6·18자유상이자,6·18자유상이자,8,1,7
2025-03,대전광역시,대전광역시,22,지원대상자,지원순직군경,7,0,7
2025-03,대전광역시,대전광역시,23,지원대상자,지원공상군경,55,51,4
2025-03,대전광역시,대전광역시,24,지원대상자,지원순직공무원,9,0,9
2025-03,대전광역시,대전광역시,25,지원대상자,지원공상공무원,21,14,7
2025-03,대전광역시,대전광역시,26,보훈보상대상자,재해사망군경,45,0,45
2025-03,대전광역시,대전광역시,27,보훈보상대상자,재해부상군경,212,193,19
2025-03,대전광역시,대전광역시,28,보훈보상대상자,재해사망공무원,7,0,7
2025-03,대전광역시,대전광역시,29,보훈보상대상자,재해부상공무원,11,11,0
2025-03,대전광역시,대전광역시,30,참전유공자,6·25전쟁,650,650,0
2025-03,대전광역시,대전광역시,31,참전유공자,월남전쟁,4092,4092,0
2025-03,대전광역시,대전광역시,32,참전유공자,6.25및월남전쟁,31,31,0
2025-03,대전광역시,대전광역시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,1321,1321,0
2025-03,대전광역시,대전광역시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,16,16,0
2025-03,대전광역시,대전광역시,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,대전광역시,대전광역시,36,5.18민주유공자,5·18부상자,20,17,3
2025-03,대전광역시,대전광역시,37,5.18민주유공자,5·18희생자,13,11,2
2025-03,대전광역시,대전광역시,38,특수임무유공자,특수임무사망자 또는 행불자,2,0,2
2025-03,대전광역시,대전광역시,39,특수임무유공자,특수임무부상자,29,22,7
2025-03,대전광역시,대전광역시,40,특수임무유공자,특수임무공로자,49,33,16
2025-03,대전광역시,대전광역시,41,중·장기복무제대군인,중·장기복무제대군인,5250,5250,0
2025-03,대전광역시,대덕구,1,순국선열,건국훈장,2,0,2
2025-03,대전광역시,대덕구,2,순국선열,건국포장,0,0,0
2025-03,대전광역시,대덕구,3,순국선열,대통령표창,0,0,0
2025-03,대전광역시,대덕구,4,애국지사,건국훈장,13,0,13
2025-03,대전광역시,대덕구,5,애국지사,건국포장,2,0,2
2025-03,대전광역시,대덕구,6,애국지사,대통령표창,2,0,2
2025-03,대전광역시,대덕구,7,전몰·전상·순직·공상군경,전몰군경,107,0,107
2025-03,대전광역시,대덕구,8,전몰·전상·순직·공상군경,전상군경,620,235,385
