기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,부산광역시,부산광역시,1,순국선열,건국훈장,44,0,44
2025-03,부산광역시,부산광역시,2,순국선열,건국포장,2,0,2
2025-03,부산광역시,부산광역시,3,순국선열,대통령표창,1,0,1
2025-03,부산광역시,부산광역시,4,애국지사,건국훈장,257,0,257
2025-03,부산광역시,부산광역시,5,애국지사,건국포장,47,0,47
2025-03,부산광역시,부산광역시,6,애국지사,대통령표창,187,0,187
2025-03,부산광역시,부산광역시,7,전몰·전상·순직·공상군경,전몰군경,2701,0,2701
2025-03,부산광역시,부산광역시,8,전몰·전상·순직·공상군경,전상군경,13680,5019,8661
2025-03,부산광역시,부산광역시,9,전몰·전상·순직·공상군경,순직군경,987,0,987
2025-03,부산광역시,부산광역시,10,전몰·전상·순직·공상군경,공상군경,4953,3515,1438
2025-03,부산광역시,부산광역시,11,고엽제후유증,고엽제후유증,5717,3193,2524
2025-03,부산광역시,부산광역시,12,무공수훈자,무공수훈자,6068,811,5257
2025-03,부산광역시,부산광역시,13,보국수훈자,보국수훈자,1824,1528,296
2025-03,부산광역시,부산광역시,14,재일학도의용군인,재일학도의용군인,18,0,18
2025-03,부산광역시,부산광역시,15,4.19혁명유공자,4·19혁명사망자,3,0,3
2025-03,부산광역시,부산광역시,16,4.19혁명유공자,4·19혁명부상자,30,11,19
2025-03,부산광역시,부산광역시,17,4.19혁명유공자,4·19혁명공로자,21,6,15
2025-03,부산광역시,부산광역시,18,순직·공상공무원,순직공무원,543,0,543
2025-03,부산광역시,부산광역시,19,순직·공상공무원,공상공무원,464,252,212
2025-03,부산광역시,부산광역시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,부산광역시,부산광역시,21,6·18자유상이자,6·18자유상이자,18,0,18
2025-03,부산광역시,부산광역시,22,지원대상자,지원순직군경,14,0,14
2025-03,부산광역시,부산광역시,23,지원대상자,지원공상군경,122,117,5
2025-03,부산광역시,부산광역시,24,지원대상자,지원순직공무원,14,0,14
2025-03,부산광역시,부산광역시,25,지원대상자,지원공상공무원,37,30,7
2025-03,부산광역시,부산광역시,26,보훈보상대상자,재해사망군경,106,0,106
2025-03,부산광역시,부산광역시,27,보훈보상대상자,재해부상군경,432,397,35
2025-03,부산광역시,부산광역시,28,보훈보상대상자,재해사망공무원,25,0,25
2025-03,부산광역시,부산광역시,29,보훈보상대상자,재해부상공무원,13,11,2
2025-03,부산광역시,부산광역시,30,참전유공자,6·25전쟁,1663,1663,0
2025-03,부산광역시,부산광역시,31,참전유공자,월남전쟁,14624,14624,0
2025-03,부산광역시,부산광역시,32,참전유공자,6.25및월남전쟁,47,47,0
2025-03,부산광역시,부산광역시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,4889,4889,0
2025-03,부산광역시,부산광역시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,15,15,0
2025-03,부산광역시,부산광역시,35,5.18민주유공자,5·18사망자 또는 행불자,1,0,1
2025-03,부산광역시,부산광역시,36,5.18민주유공자,5·18부상자,33,23,10
2025-03,부산광역시,부산광역시,37,5.18민주유공자,5·18희생자,26,23,3
2025-03,부산광역시,부산광역시,38,특수임무유공자,특수임무사망자 또는 행불자,1,0,1
2025-03,부산광역시,부산광역시,39,특수임무유공자,특수임무부상자,178,154,24
