기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,서울특별시,서울특별시,1,순국선열,건국훈장,204,0,204
2025-03,서울특별시,서울특별시,2,순국선열,건국포장,11,0,11
2025-03,서울특별시,서울특별시,3,순국선열,대통령표창,12,0,12
2025-03,서울특별시,서울특별시,4,애국지사,건국훈장,1202,1,1201
2025-03,서울특별시,서울특별시,5,애국지사,건국포장,205,0,205
2025-03,서울특별시,서울특별시,6,애국지사,대통령표창,603,0,603
2025-03,서울특별시,서울특별시,7,전몰·전상·순직·공상군경,전몰군경,5747,0,5747
2025-03,서울특별시,서울특별시,8,전몰·전상·순직·공상군경,전상군경,24249,9129,15120
2025-03,서울특별시,서울특별시,9,전몰·전상·순직·공상군경,순직군경,2533,0,2533
2025-03,서울특별시,서울특별시,10,전몰·전상·순직·공상군경,공상군경,10300,7526,2774
2025-03,서울특별시,서울특별시,11,고엽제후유증,고엽제후유증,10352,5497,4855
2025-03,서울특별시,서울특별시,12,무공수훈자,무공수훈자,17508,2500,15008
2025-03,서울특별시,서울특별시,13,보국수훈자,보국수훈자,7871,6223,1648
2025-03,서울특별시,서울특별시,14,재일학도의용군인,재일학도의용군인,51,1,50
2025-03,서울특별시,서울특별시,15,4.19혁명유공자,4·19혁명사망자,10,0,10
2025-03,서울특별시,서울특별시,16,4.19혁명유공자,4·19혁명부상자,113,31,82
2025-03,서울특별시,서울특별시,17,4.19혁명유공자,4·19혁명공로자,218,111,107
2025-03,서울특별시,서울특별시,18,순직·공상공무원,순직공무원,1423,0,1423
2025-03,서울특별시,서울특별시,19,순직·공상공무원,공상공무원,682,314,368
2025-03,서울특별시,서울특별시,20,특별공로순직자,특별공로순직자,10,0,10
2025-03,서울특별시,서울특별시,21,6·18자유상이자,6·18자유상이자,85,6,79
2025-03,서울특별시,서울특별시,22,지원대상자,지원순직군경,26,0,26
2025-03,서울특별시,서울특별시,23,지원대상자,지원공상군경,280,267,13
2025-03,서울특별시,서울특별시,24,지원대상자,지원순직공무원,29,0,29
2025-03,서울특별시,서울특별시,25,지원대상자,지원공상공무원,49,44,5
2025-03,서울특별시,서울특별시,26,보훈보상대상자,재해사망군경,239,0,239
2025-03,서울특별시,서울특별시,27,보훈보상대상자,재해부상군경,1152,1073,79
