기준년월,지역명,읍면동명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,세종특별자치시,세종특별자치시,1,순국선열,건국훈장,4,0,4
2025-03,세종특별자치시,세종특별자치시,2,순국선열,건국포장,0,0,0
2025-03,세종특별자치시,세종특별자치시,3,순국선열,대통령표창,1,0,1
2025-03,세종특별자치시,세종특별자치시,4,애국지사,건국훈장,19,0,19
2025-03,세종특별자치시,세종특별자치시,5,애국지사,건국포장,4,0,4
2025-03,세종특별자치시,세종특별자치시,6,애국지사,대통령표창,14,0,14
2025-03,세종특별자치시,세종특별자치시,7,전몰·전상·순직·공상군경,전몰군경,136,0,136
2025-03,세종특별자치시,세종특별자치시,8,전몰·전상·순직·공상군경,전상군경,759,271,488
2025-03,세종특별자치시,세종특별자치시,9,전몰·전상·순직·공상군경,순직군경,91,0,91
2025-03,세종특별자치시,세종특별자치시,10,전몰·전상·순직·공상군경,공상군경,604,506,98
2025-03,세종특별자치시,세종특별자치시,11,고엽제후유증,고엽제후유증,314,182,132
2025-03,세종특별자치시,세종특별자치시,12,무공수훈자,무공수훈자,441,57,384
2025-03,세종특별자치시,세종특별자치시,13,보국수훈자,보국수훈자,768,719,49
2025-03,세종특별자치시,세종특별자치시,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,세종특별자치시,세종특별자치시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,세종특별자치시,세종특별자치시,16,4.19혁명유공자,4·19혁명부상자,1,0,1
2025-03,세종특별자치시,세종특별자치시,17,4.19혁명유공자,4·19혁명공로자,1,1,0
2025-03,세종특별자치시,세종특별자치시,18,순직·공상공무원,순직공무원,91,0,91
2025-03,세종특별자치시,세종특별자치시,19,순직·공상공무원,공상공무원,79,48,31
2025-03,세종특별자치시,세종특별자치시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,세종특별자치시,세종특별자치시,21,6·18자유상이자,6·18자유상이자,2,0,2
2025-03,세종특별자치시,세종특별자치시,22,지원대상자,지원순직군경,2,0,2
2025-03,세종특별자치시,세종특별자치시,23,지원대상자,지원공상군경,26,25,1
2025-03,세종특별자치시,세종특별자치시,24,지원대상자,지원순직공무원,4,0,4
2025-03,세종특별자치시,세종특별자치시,25,지원대상자,지원공상공무원,3,3,0
2025-03,세종특별자치시,세종특별자치시,26,보훈보상대상자,재해사망군경,10,0,10
2025-03,세종특별자치시,세종특별자치시,27,보훈보상대상자,재해부상군경,62,59,3
2025-03,세종특별자치시,세종특별자치시,28,보훈보상대상자,재해사망공무원,2,0,2
2025-03,세종특별자치시,세종특별자치시,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,세종특별자치시,세종특별자치시,30,참전유공자,6·25전쟁,112,112,0
2025-03,세종특별자치시,세종특별자치시,31,참전유공자,월남전쟁,736,736,0
2025-03,세종특별자치시,세종특별자치시,32,참전유공자,6.25및월남전쟁,1,1,0
2025-03,세종특별자치시,세종특별자치시,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,242,242,0
2025-03,세종특별자치시,세종특별자치시,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,3,3,0
2025-03,세종특별자치시,세종특별자치시,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,세종특별자치시,36,5.18민주유공자,5·18부상자,11,9,2
2025-03,세종특별자치시,세종특별자치시,37,5.18민주유공자,5·18희생자,8,8,0
2025-03,세종특별자치시,세종특별자치시,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,세종특별자치시,39,특수임무유공자,특수임무부상자,6,6,0
2025-03,세종특별자치시,세종특별자치시,40,특수임무유공자,특수임무공로자,11,9,2
2025-03,세종특별자치시,세종특별자치시,41,중·장기복무제대군인,중·장기복무제대군인,2112,2112,0
2025-03,세종특별자치시,고운동,1,순국선열,건국훈장,1,0,1
2025-03,세종특별자치시,고운동,2,순국선열,건국포장,0,0,0
2025-03,세종특별자치시,고운동,3,순국선열,대통령표창,0,0,0
2025-03,세종특별자치시,고운동,4,애국지사,건국훈장,3,0,3
2025-03,세종특별자치시,고운동,5,애국지사,건국포장,0,0,0
2025-03,세종특별자치시,고운동,6,애국지사,대통령표창,0,0,0
2025-03,세종특별자치시,고운동,7,전몰·전상·순직·공상군경,전몰군경,14,0,14
2025-03,세종특별자치시,고운동,8,전몰·전상·순직·공상군경,전상군경,41,16,25
2025-03,세종특별자치시,고운동,9,전몰·전상·순직·공상군경,순직군경,11,0,11
2025-03,세종특별자치시,고운동,10,전몰·전상·순직·공상군경,공상군경,42,34,8
2025-03,세종특별자치시,고운동,11,고엽제후유증,고엽제후유증,13,11,2
2025-03,세종특별자치시,고운동,12,무공수훈자,무공수훈자,19,1,18
2025-03,세종특별자치시,고운동,13,보국수훈자,보국수훈자,82,79,3
2025-03,세종특별자치시,고운동,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,세종특별자치시,고운동,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,세종특별자치시,고운동,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,세종특별자치시,고운동,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,세종특별자치시,고운동,18,순직·공상공무원,순직공무원,4,0,4
2025-03,세종특별자치시,고운동,19,순직·공상공무원,공상공무원,5,4,1
2025-03,세종특별자치시,고운동,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,세종특별자치시,고운동,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,세종특별자치시,고운동,22,지원대상자,지원순직군경,0,0,0
2025-03,세종특별자치시,고운동,23,지원대상자,지원공상군경,2,2,0
2025-03,세종특별자치시,고운동,24,지원대상자,지원순직공무원,0,0,0
2025-03,세종특별자치시,고운동,25,지원대상자,지원공상공무원,0,0,0
2025-03,세종특별자치시,고운동,26,보훈보상대상자,재해사망군경,1,0,1
2025-03,세종특별자치시,고운동,27,보훈보상대상자,재해부상군경,4,4,0
2025-03,세종특별자치시,고운동,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,세종특별자치시,고운동,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,세종특별자치시,고운동,30,참전유공자,6·25전쟁,3,3,0
2025-03,세종특별자치시,고운동,31,참전유공자,월남전쟁,54,54,0
2025-03,세종특별자치시,고운동,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,세종특별자치시,고운동,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,13,13,0
2025-03,세종특별자치시,고운동,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,1,1,0
2025-03,세종특별자치시,고운동,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,고운동,36,5.18민주유공자,5·18부상자,1,1,0
2025-03,세종특별자치시,고운동,37,5.18민주유공자,5·18희생자,0,0,0
2025-03,세종특별자치시,고운동,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,고운동,39,특수임무유공자,특수임무부상자,1,1,0
2025-03,세종특별자치시,고운동,40,특수임무유공자,특수임무공로자,0,0,0
2025-03,세종특별자치시,고운동,41,중·장기복무제대군인,중·장기복무제대군인,219,219,0
2025-03,세종특별자치시,금남면,1,순국선열,건국훈장,0,0,0
2025-03,세종특별자치시,금남면,2,순국선열,건국포장,0,0,0
2025-03,세종특별자치시,금남면,3,순국선열,대통령표창,0,0,0
2025-03,세종특별자치시,금남면,4,애국지사,건국훈장,1,0,1
2025-03,세종특별자치시,금남면,5,애국지사,건국포장,0,0,0
2025-03,세종특별자치시,금남면,6,애국지사,대통령표창,1,0,1
2025-03,세종특별자치시,금남면,7,전몰·전상·순직·공상군경,전몰군경,9,0,9
2025-03,세종특별자치시,금남면,8,전몰·전상·순직·공상군경,전상군경,35,7,28
2025-03,세종특별자치시,금남면,9,전몰·전상·순직·공상군경,순직군경,4,0,4
2025-03,세종특별자치시,금남면,10,전몰·전상·순직·공상군경,공상군경,10,7,3
2025-03,세종특별자치시,금남면,11,고엽제후유증,고엽제후유증,6,3,3
2025-03,세종특별자치시,금남면,12,무공수훈자,무공수훈자,24,3,21
2025-03,세종특별자치시,금남면,13,보국수훈자,보국수훈자,18,18,0
2025-03,세종특별자치시,금남면,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,세종특별자치시,금남면,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,세종특별자치시,금남면,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,세종특별자치시,금남면,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,세종특별자치시,금남면,18,순직·공상공무원,순직공무원,9,0,9
2025-03,세종특별자치시,금남면,19,순직·공상공무원,공상공무원,4,3,1
2025-03,세종특별자치시,금남면,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,세종특별자치시,금남면,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,세종특별자치시,금남면,22,지원대상자,지원순직군경,0,0,0
2025-03,세종특별자치시,금남면,23,지원대상자,지원공상군경,0,0,0
2025-03,세종특별자치시,금남면,24,지원대상자,지원순직공무원,0,0,0
2025-03,세종특별자치시,금남면,25,지원대상자,지원공상공무원,0,0,0
2025-03,세종특별자치시,금남면,26,보훈보상대상자,재해사망군경,0,0,0
2025-03,세종특별자치시,금남면,27,보훈보상대상자,재해부상군경,1,1,0
2025-03,세종특별자치시,금남면,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,세종특별자치시,금남면,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,세종특별자치시,금남면,30,참전유공자,6·25전쟁,12,12,0
2025-03,세종특별자치시,금남면,31,참전유공자,월남전쟁,29,29,0
2025-03,세종특별자치시,금남면,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,세종특별자치시,금남면,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,13,13,0
2025-03,세종특별자치시,금남면,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,1,1,0
2025-03,세종특별자치시,금남면,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,금남면,36,5.18민주유공자,5·18부상자,0,0,0
2025-03,세종특별자치시,금남면,37,5.18민주유공자,5·18희생자,0,0,0
2025-03,세종특별자치시,금남면,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,금남면,39,특수임무유공자,특수임무부상자,0,0,0
2025-03,세종특별자치시,금남면,40,특수임무유공자,특수임무공로자,0,0,0
2025-03,세종특별자치시,금남면,41,중·장기복무제대군인,중·장기복무제대군인,34,34,0
