기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,인천광역시,인천광역시,1,순국선열,건국훈장,39,0,39
2025-03,인천광역시,인천광역시,2,순국선열,건국포장,2,0,2
2025-03,인천광역시,인천광역시,3,순국선열,대통령표창,4,0,4
2025-03,인천광역시,인천광역시,4,애국지사,건국훈장,230,0,230
2025-03,인천광역시,인천광역시,5,애국지사,건국포장,39,0,39
2025-03,인천광역시,인천광역시,6,애국지사,대통령표창,121,0,121
2025-03,인천광역시,인천광역시,7,전몰·전상·순직·공상군경,전몰군경,1435,0,1435
2025-03,인천광역시,인천광역시,8,전몰·전상·순직·공상군경,전상군경,7594,2532,5062
2025-03,인천광역시,인천광역시,9,전몰·전상·순직·공상군경,순직군경,651,0,651
2025-03,인천광역시,인천광역시,10,전몰·전상·순직·공상군경,공상군경,3354,2461,893
2025-03,인천광역시,인천광역시,11,고엽제후유증,고엽제후유증,2973,1500,1473
2025-03,인천광역시,인천광역시,12,무공수훈자,무공수훈자,4925,561,4364
2025-03,인천광역시,인천광역시,13,보국수훈자,보국수훈자,1693,1432,261
2025-03,인천광역시,인천광역시,14,재일학도의용군인,재일학도의용군인,27,0,27
2025-03,인천광역시,인천광역시,15,4.19혁명유공자,4·19혁명사망자,1,0,1
2025-03,인천광역시,인천광역시,16,4.19혁명유공자,4·19혁명부상자,14,4,10
2025-03,인천광역시,인천광역시,17,4.19혁명유공자,4·19혁명공로자,6,2,4
2025-03,인천광역시,인천광역시,18,순직·공상공무원,순직공무원,294,0,294
2025-03,인천광역시,인천광역시,19,순직·공상공무원,공상공무원,209,103,106
2025-03,인천광역시,인천광역시,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,인천광역시,인천광역시,21,6·18자유상이자,6·18자유상이자,36,1,35
2025-03,인천광역시,인천광역시,22,지원대상자,지원순직군경,8,0,8
2025-03,인천광역시,인천광역시,23,지원대상자,지원공상군경,106,99,7
2025-03,인천광역시,인천광역시,24,지원대상자,지원순직공무원,8,0,8
