기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,전라남도,전라남도,1,순국선열,건국훈장,25,0,25
2025-03,전라남도,전라남도,2,순국선열,"건국포장	",1,0,1
2025-03,전라남도,전라남도,3,순국선열,대통령표창,3,0,3
2025-03,전라남도,전라남도,4,애국지사,건국훈장,83,0,83
2025-03,전라남도,전라남도,5,애국지사,"건국포장	",23,0,23
2025-03,전라남도,전라남도,6,애국지사,대통령표창,96,0,96
2025-03,전라남도,전라남도,7,전몰·전상·순직·공상군경,전몰군경,1599,0,1599
2025-03,전라남도,전라남도,8,전몰·전상·순직·공상군경,전상군경,7810,2895,4915
2025-03,전라남도,전라남도,9,전몰·전상·순직·공상군경,순직군경,669,0,669
2025-03,전라남도,전라남도,10,전몰·전상·순직·공상군경,공상군경,3182,2200,982
2025-03,전라남도,전라남도,11,고엽제후유증,고엽제후유증,2849,1756,1093
2025-03,전라남도,전라남도,12,무공수훈자,무공수훈자,2773,384,2389
2025-03,전라남도,전라남도,13,보국수훈자,보국수훈자,971,886,85
2025-03,전라남도,전라남도,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,전라남도,전라남도,15,4.19혁명유공자,4·19혁명사망자,1,0,1
2025-03,전라남도,전라남도,16,4.19혁명유공자,4·19혁명부상자,2,1,1
2025-03,전라남도,전라남도,17,4.19혁명유공자,4·19혁명공로자,7,4,3
2025-03,전라남도,전라남도,18,순직·공상공무원,순직공무원,409,0,409
2025-03,전라남도,전라남도,19,순직·공상공무원,공상공무원,361,213,148
2025-03,전라남도,전라남도,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,전라남도,전라남도,21,6·18자유상이자,6·18자유상이자,17,1,16
2025-03,전라남도,전라남도,22,지원대상자,지원순직군경,11,0,11
2025-03,전라남도,전라남도,23,지원대상자,지원공상군경,74,67,7
2025-03,전라남도,전라남도,24,지원대상자,지원순직공무원,11,0,11
2025-03,전라남도,전라남도,25,지원대상자,지원공상공무원,42,35,7
2025-03,전라남도,전라남도,26,보훈보상대상자,재해사망군경,79,0,79
2025-03,전라남도,전라남도,27,보훈보상대상자,재해부상군경,258,224,34
2025-03,전라남도,전라남도,28,보훈보상대상자,재해사망공무원,20,0,20
2025-03,전라남도,전라남도,29,보훈보상대상자,재해부상공무원,11,9,2
2025-03,전라남도,전라남도,30,참전유공자,6·25전쟁,1299,1299,0
2025-03,전라남도,전라남도,31,참전유공자,월남전쟁,7107,7107,0
2025-03,전라남도,전라남도,32,참전유공자,6.25및월남전쟁,1,1,0
2025-03,전라남도,전라남도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,2879,2879,0
2025-03,전라남도,전라남도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,6,6,0
2025-03,전라남도,전라남도,35,5.18민주유공자,5·18사망자 또는 행불자,33,0,33
