기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,전북특별자치도,전북특별자치도,1,순국선열,건국훈장,21,0,21
2025-03,전북특별자치도,전북특별자치도,2,순국선열,건국포장,3,0,3
2025-03,전북특별자치도,전북특별자치도,3,순국선열,대통령표창,1,0,1
2025-03,전북특별자치도,전북특별자치도,4,애국지사,건국훈장,131,0,131
2025-03,전북특별자치도,전북특별자치도,5,애국지사,건국포장,20,0,20
2025-03,전북특별자치도,전북특별자치도,6,애국지사,대통령표창,87,1,86
2025-03,전북특별자치도,전북특별자치도,7,전몰·전상·순직·공상군경,전몰군경,1324,0,1324
2025-03,전북특별자치도,전북특별자치도,8,전몰·전상·순직·공상군경,전상군경,6542,2234,4308
2025-03,전북특별자치도,전북특별자치도,9,전몰·전상·순직·공상군경,순직군경,602,0,602
2025-03,전북특별자치도,전북특별자치도,10,전몰·전상·순직·공상군경,공상군경,2609,1882,727
2025-03,전북특별자치도,전북특별자치도,11,고엽제후유증,고엽제후유증,2331,1323,1008
2025-03,전북특별자치도,전북특별자치도,12,무공수훈자,무공수훈자,2485,339,2146
2025-03,전북특별자치도,전북특별자치도,13,보국수훈자,보국수훈자,910,816,94
2025-03,전북특별자치도,전북특별자치도,14,재일학도의용군인,재일학도의용군인,2,0,2
2025-03,전북특별자치도,전북특별자치도,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,전북특별자치도,전북특별자치도,16,4.19혁명유공자,4·19혁명부상자,3,2,1
2025-03,전북특별자치도,전북특별자치도,17,4.19혁명유공자,4·19혁명공로자,3,3,0
2025-03,전북특별자치도,전북특별자치도,18,순직·공상공무원,순직공무원,486,0,486
2025-03,전북특별자치도,전북특별자치도,19,순직·공상공무원,공상공무원,363,198,165
2025-03,전북특별자치도,전북특별자치도,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,전북특별자치도,전북특별자치도,21,6·18자유상이자,6·18자유상이자,3,0,3
2025-03,전북특별자치도,전북특별자치도,22,지원대상자,지원순직군경,10,0,10
2025-03,전북특별자치도,전북특별자치도,23,지원대상자,지원공상군경,69,69,0
2025-03,전북특별자치도,전북특별자치도,24,지원대상자,지원순직공무원,11,0,11
2025-03,전북특별자치도,전북특별자치도,25,지원대상자,지원공상공무원,55,51,4
2025-03,전북특별자치도,전북특별자치도,26,보훈보상대상자,재해사망군경,71,0,71
2025-03,전북특별자치도,전북특별자치도,27,보훈보상대상자,재해부상군경,241,207,34
2025-03,전북특별자치도,전북특별자치도,28,보훈보상대상자,재해사망공무원,25,0,25
2025-03,전북특별자치도,전북특별자치도,29,보훈보상대상자,재해부상공무원,18,18,0
2025-03,전북특별자치도,전북특별자치도,30,참전유공자,6·25전쟁,1423,1423,0
2025-03,전북특별자치도,전북특별자치도,31,참전유공자,월남전쟁,6574,6574,0
2025-03,전북특별자치도,전북특별자치도,32,참전유공자,6.25및월남전쟁,10,10,0
2025-03,전북특별자치도,전북특별자치도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,2520,2520,0
2025-03,전북특별자치도,전북특별자치도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,4,4,0
2025-03,전북특별자치도,전북특별자치도,35,5.18민주유공자,5·18사망자 또는 행불자,5,0,5
2025-03,전북특별자치도,전북특별자치도,36,5.18민주유공자,5·18부상자,63,49,14
2025-03,전북특별자치도,전북특별자치도,37,5.18민주유공자,5·18희생자,72,66,6
2025-03,전북특별자치도,전북특별자치도,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,전북특별자치도,전북특별자치도,39,특수임무유공자,특수임무부상자,23,19,4
2025-03,전북특별자치도,전북특별자치도,40,특수임무유공자,특수임무공로자,52,39,13
2025-03,전북특별자치도,전북특별자치도,41,중·장기복무제대군인,중·장기복무제대군인,3323,3323,0
2025-03,전북특별자치도,고창군,1,순국선열,건국훈장,1,0,1
2025-03,전북특별자치도,고창군,2,순국선열,건국포장,0,0,0
