기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,제주특별자치도,제주특별자치도,1,순국선열,건국훈장,5,0,5
2025-03,제주특별자치도,제주특별자치도,2,순국선열,건국포장,0,0,0
2025-03,제주특별자치도,제주특별자치도,3,순국선열,대통령표창,0,0,0
2025-03,제주특별자치도,제주특별자치도,4,애국지사,건국훈장,59,1,58
2025-03,제주특별자치도,제주특별자치도,5,애국지사,건국포장,11,0,11
2025-03,제주특별자치도,제주특별자치도,6,애국지사,대통령표창,29,0,29
2025-03,제주특별자치도,제주특별자치도,7,전몰·전상·순직·공상군경,전몰군경,972,0,972
2025-03,제주특별자치도,제주특별자치도,8,전몰·전상·순직·공상군경,전상군경,2567,631,1936
2025-03,제주특별자치도,제주특별자치도,9,전몰·전상·순직·공상군경,순직군경,229,0,229
2025-03,제주특별자치도,제주특별자치도,10,전몰·전상·순직·공상군경,공상군경,843,596,247
2025-03,제주특별자치도,제주특별자치도,11,고엽제후유증,고엽제후유증,680,357,323
2025-03,제주특별자치도,제주특별자치도,12,무공수훈자,무공수훈자,2002,200,1802
2025-03,제주특별자치도,제주특별자치도,13,보국수훈자,보국수훈자,337,295,42
2025-03,제주특별자치도,제주특별자치도,14,재일학도의용군인,재일학도의용군인,3,0,3
2025-03,제주특별자치도,제주특별자치도,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,제주특별자치도,제주특별자치도,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,제주특별자치도,제주특별자치도,17,4.19혁명유공자,4·19혁명공로자,4,1,3
2025-03,제주특별자치도,제주특별자치도,18,순직·공상공무원,순직공무원,132,0,132
2025-03,제주특별자치도,제주특별자치도,19,순직·공상공무원,공상공무원,75,39,36
2025-03,제주특별자치도,제주특별자치도,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,제주특별자치도,제주특별자치도,21,6·18자유상이자,6·18자유상이자,1,0,1
2025-03,제주특별자치도,제주특별자치도,22,지원대상자,지원순직군경,1,0,1
2025-03,제주특별자치도,제주특별자치도,23,지원대상자,지원공상군경,25,25,0
2025-03,제주특별자치도,제주특별자치도,24,지원대상자,지원순직공무원,4,0,4
2025-03,제주특별자치도,제주특별자치도,25,지원대상자,지원공상공무원,6,5,1
2025-03,제주특별자치도,제주특별자치도,26,보훈보상대상자,재해사망군경,24,0,24
2025-03,제주특별자치도,제주특별자치도,27,보훈보상대상자,재해부상군경,77,66,11
2025-03,제주특별자치도,제주특별자치도,28,보훈보상대상자,재해사망공무원,4,0,4
2025-03,제주특별자치도,제주특별자치도,29,보훈보상대상자,재해부상공무원,8,8,0
2025-03,제주특별자치도,제주특별자치도,30,참전유공자,6·25전쟁,574,574,0
2025-03,제주특별자치도,제주특별자치도,31,참전유공자,월남전쟁,1983,1983,0
2025-03,제주특별자치도,제주특별자치도,32,참전유공자,6.25및월남전쟁,9,9,0
2025-03,제주특별자치도,제주특별자치도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,515,515,0
2025-03,제주특별자치도,제주특별자치도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,3,3,0
2025-03,제주특별자치도,제주특별자치도,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,제주특별자치도,제주특별자치도,36,5.18민주유공자,5·18부상자,12,9,3
2025-03,제주특별자치도,제주특별자치도,37,5.18민주유공자,5·18희생자,3,3,0
2025-03,제주특별자치도,제주특별자치도,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,제주특별자치도,제주특별자치도,39,특수임무유공자,특수임무부상자,18,16,2
2025-03,제주특별자치도,제주특별자치도,40,특수임무유공자,특수임무공로자,27,20,7
2025-03,제주특별자치도,제주특별자치도,41,중·장기복무제대군인,중·장기복무제대군인,1126,1126,0
2025-03,제주특별자치도,서귀포시,1,순국선열,건국훈장,0,0,0
2025-03,제주특별자치도,서귀포시,2,순국선열,건국포장,0,0,0
2025-03,제주특별자치도,서귀포시,3,순국선열,대통령표창,0,0,0
2025-03,제주특별자치도,서귀포시,4,애국지사,건국훈장,13,1,12
2025-03,제주특별자치도,서귀포시,5,애국지사,건국포장,4,0,4
2025-03,제주특별자치도,서귀포시,6,애국지사,대통령표창,13,0,13
2025-03,제주특별자치도,서귀포시,7,전몰·전상·순직·공상군경,전몰군경,336,0,336
2025-03,제주특별자치도,서귀포시,8,전몰·전상·순직·공상군경,전상군경,796,187,609
2025-03,제주특별자치도,서귀포시,9,전몰·전상·순직·공상군경,순직군경,77,0,77
2025-03,제주특별자치도,서귀포시,10,전몰·전상·순직·공상군경,공상군경,252,173,79
2025-03,제주특별자치도,서귀포시,11,고엽제후유증,고엽제후유증,196,93,103
2025-03,제주특별자치도,서귀포시,12,무공수훈자,무공수훈자,647,70,577
2025-03,제주특별자치도,서귀포시,13,보국수훈자,보국수훈자,102,94,8
2025-03,제주특별자치도,서귀포시,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,제주특별자치도,서귀포시,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,제주특별자치도,서귀포시,16,4.19혁명유공자,4·19혁명부상자,0,0,0
