기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,충청남도,충청남도,1,순국선열,건국훈장,28,0,28
2025-03,충청남도,충청남도,2,순국선열,건국포장,0,0,0
2025-03,충청남도,충청남도,3,순국선열,대통령표창,6,0,6
2025-03,충청남도,충청남도,4,애국지사,건국훈장,118,0,118
2025-03,충청남도,충청남도,5,애국지사,건국포장,24,0,24
2025-03,충청남도,충청남도,6,애국지사,대통령표창,255,0,255
2025-03,충청남도,충청남도,7,전몰·전상·순직·공상군경,전몰군경,1137,0,1137
2025-03,충청남도,충청남도,8,전몰·전상·순직·공상군경,전상군경,5838,2219,3619
2025-03,충청남도,충청남도,9,전몰·전상·순직·공상군경,순직군경,648,0,648
2025-03,충청남도,충청남도,10,전몰·전상·순직·공상군경,공상군경,2588,1869,719
2025-03,충청남도,충청남도,11,고엽제후유증,고엽제후유증,2445,1422,1023
2025-03,충청남도,충청남도,12,무공수훈자,무공수훈자,3100,394,2706
2025-03,충청남도,충청남도,13,보국수훈자,보국수훈자,2260,2076,184
2025-03,충청남도,충청남도,14,재일학도의용군인,재일학도의용군인,7,0,7
2025-03,충청남도,충청남도,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,충청남도,충청남도,16,4.19혁명유공자,4·19혁명부상자,5,2,3
2025-03,충청남도,충청남도,17,4.19혁명유공자,4·19혁명공로자,7,3,4
2025-03,충청남도,충청남도,18,순직·공상공무원,순직공무원,337,0,337
2025-03,충청남도,충청남도,19,순직·공상공무원,공상공무원,251,139,112
2025-03,충청남도,충청남도,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,충청남도,충청남도,21,6·18자유상이자,6·18자유상이자,23,1,22
2025-03,충청남도,충청남도,22,지원대상자,지원순직군경,8,0,8
2025-03,충청남도,충청남도,23,지원대상자,지원공상군경,82,78,4
2025-03,충청남도,충청남도,24,지원대상자,지원순직공무원,6,0,6
2025-03,충청남도,충청남도,25,지원대상자,지원공상공무원,23,19,4
2025-03,충청남도,충청남도,26,보훈보상대상자,재해사망군경,81,0,81
2025-03,충청남도,충청남도,27,보훈보상대상자,재해부상군경,250,218,32
2025-03,충청남도,충청남도,28,보훈보상대상자,재해사망공무원,15,0,15
2025-03,충청남도,충청남도,29,보훈보상대상자,재해부상공무원,10,9,1
2025-03,충청남도,충청남도,30,참전유공자,6·25전쟁,1784,1784,0
2025-03,충청남도,충청남도,31,참전유공자,월남전쟁,6875,6875,0
2025-03,충청남도,충청남도,32,참전유공자,6.25및월남전쟁,14,14,0
2025-03,충청남도,충청남도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,2004,2004,0
2025-03,충청남도,충청남도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,9,9,0
2025-03,충청남도,충청남도,35,5.18민주유공자,5·18사망자 또는 행불자,1,0,1
2025-03,충청남도,충청남도,36,5.18민주유공자,5·18부상자,20,12,8
2025-03,충청남도,충청남도,37,5.18민주유공자,5·18희생자,27,20,7
2025-03,충청남도,충청남도,38,특수임무유공자,특수임무사망자 또는 행불자,3,0,3
2025-03,충청남도,충청남도,39,특수임무유공자,특수임무부상자,35,32,3
2025-03,충청남도,충청남도,40,특수임무유공자,특수임무공로자,106,81,25
2025-03,충청남도,충청남도,41,중·장기복무제대군인,중·장기복무제대군인,5600,5600,0
2025-03,충청남도,계룡시,1,순국선열,건국훈장,0,0,0
2025-03,충청남도,계룡시,2,순국선열,건국포장,0,0,0
2025-03,충청남도,계룡시,3,순국선열,대통령표창,0,0,0
2025-03,충청남도,계룡시,4,애국지사,건국훈장,2,0,2
2025-03,충청남도,계룡시,5,애국지사,건국포장,0,0,0
2025-03,충청남도,계룡시,6,애국지사,대통령표창,2,0,2
2025-03,충청남도,계룡시,7,전몰·전상·순직·공상군경,전몰군경,26,0,26
