기준년월,지역명,시군구명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,충청북도,충청북도,1,순국선열,건국훈장,20,0,20
2025-03,충청북도,충청북도,2,순국선열,건국포장,0,0,0
2025-03,충청북도,충청북도,3,순국선열,대통령표창,3,0,3
2025-03,충청북도,충청북도,4,애국지사,건국훈장,108,0,108
2025-03,충청북도,충청북도,5,애국지사,건국포장,17,0,17
2025-03,충청북도,충청북도,6,애국지사,대통령표창,75,0,75
2025-03,충청북도,충청북도,7,전몰·전상·순직·공상군경,전몰군경,1111,0,1111
2025-03,충청북도,충청북도,8,전몰·전상·순직·공상군경,전상군경,4934,1562,3372
2025-03,충청북도,충청북도,9,전몰·전상·순직·공상군경,순직군경,542,0,542
2025-03,충청북도,충청북도,10,전몰·전상·순직·공상군경,공상군경,2069,1419,650
2025-03,충청북도,충청북도,11,고엽제후유증,고엽제후유증,1737,939,798
2025-03,충청북도,충청북도,12,무공수훈자,무공수훈자,2816,335,2481
2025-03,충청북도,충청북도,13,보국수훈자,보국수훈자,1845,1712,133
2025-03,충청북도,충청북도,14,재일학도의용군인,재일학도의용군인,2,0,2
2025-03,충청북도,충청북도,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,충청북도,충청북도,16,4.19혁명유공자,4·19혁명부상자,2,1,1
2025-03,충청북도,충청북도,17,4.19혁명유공자,4·19혁명공로자,9,4,5
2025-03,충청북도,충청북도,18,순직·공상공무원,순직공무원,346,0,346
2025-03,충청북도,충청북도,19,순직·공상공무원,공상공무원,261,160,101
2025-03,충청북도,충청북도,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,충청북도,충청북도,21,6·18자유상이자,6·18자유상이자,9,0,9
2025-03,충청북도,충청북도,22,지원대상자,지원순직군경,6,0,6
2025-03,충청북도,충청북도,23,지원대상자,지원공상군경,60,55,5
2025-03,충청북도,충청북도,24,지원대상자,지원순직공무원,10,0,10
2025-03,충청북도,충청북도,25,지원대상자,지원공상공무원,37,28,9
2025-03,충청북도,충청북도,26,보훈보상대상자,재해사망군경,51,0,51
2025-03,충청북도,충청북도,27,보훈보상대상자,재해부상군경,177,163,14
2025-03,충청북도,충청북도,28,보훈보상대상자,재해사망공무원,8,0,8
2025-03,충청북도,충청북도,29,보훈보상대상자,재해부상공무원,13,11,2
2025-03,충청북도,충청북도,30,참전유공자,6·25전쟁,1004,1004,0
2025-03,충청북도,충청북도,31,참전유공자,월남전쟁,4797,4797,0
2025-03,충청북도,충청북도,32,참전유공자,6.25및월남전쟁,8,8,0
2025-03,충청북도,충청북도,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,1429,1429,0
2025-03,충청북도,충청북도,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,2,2,0
2025-03,충청북도,충청북도,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,충청북도,충청북도,36,5.18민주유공자,5·18부상자,21,15,6
2025-03,충청북도,충청북도,37,5.18민주유공자,5·18희생자,17,15,2
2025-03,충청북도,충청북도,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,충청북도,충청북도,39,특수임무유공자,특수임무부상자,28,23,5
2025-03,충청북도,충청북도,40,특수임무유공자,특수임무공로자,41,24,17
2025-03,충청북도,충청북도,41,중·장기복무제대군인,중·장기복무제대군인,4434,4434,0
2025-03,충청북도,괴산군,1,순국선열,건국훈장,0,0,0
2025-03,충청북도,괴산군,2,순국선열,건국포장,0,0,0
2025-03,충청북도,괴산군,3,순국선열,대통령표창,0,0,0
2025-03,충청북도,괴산군,4,애국지사,건국훈장,5,0,5
2025-03,충청북도,괴산군,5,애국지사,건국포장,1,0,1
2025-03,충청북도,괴산군,6,애국지사,대통령표창,5,0,5
2025-03,충청북도,괴산군,7,전몰·전상·순직·공상군경,전몰군경,34,0,34
2025-03,충청북도,괴산군,8,전몰·전상·순직·공상군경,전상군경,181,62,119
2025-03,충청북도,괴산군,9,전몰·전상·순직·공상군경,순직군경,20,0,20
2025-03,충청북도,괴산군,10,전몰·전상·순직·공상군경,공상군경,70,36,34
2025-03,충청북도,괴산군,11,고엽제후유증,고엽제후유증,58,35,23
2025-03,충청북도,괴산군,12,무공수훈자,무공수훈자,104,15,89
2025-03,충청북도,괴산군,13,보국수훈자,보국수훈자,59,55,4
2025-03,충청북도,괴산군,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,충청북도,괴산군,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,충청북도,괴산군,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,충청북도,괴산군,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,충청북도,괴산군,18,순직·공상공무원,순직공무원,6,0,6
2025-03,충청북도,괴산군,19,순직·공상공무원,공상공무원,5,3,2
2025-03,충청북도,괴산군,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,충청북도,괴산군,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,충청북도,괴산군,22,지원대상자,지원순직군경,1,0,1
2025-03,충청북도,괴산군,23,지원대상자,지원공상군경,1,1,0
2025-03,충청북도,괴산군,24,지원대상자,지원순직공무원,0,0,0
2025-03,충청북도,괴산군,25,지원대상자,지원공상공무원,2,1,1
2025-03,충청북도,괴산군,26,보훈보상대상자,재해사망군경,1,0,1
2025-03,충청북도,괴산군,27,보훈보상대상자,재해부상군경,3,2,1
2025-03,충청북도,괴산군,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,충청북도,괴산군,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,충청북도,괴산군,30,참전유공자,6·25전쟁,56,56,0
2025-03,충청북도,괴산군,31,참전유공자,월남전쟁,202,202,0
2025-03,충청북도,괴산군,32,참전유공자,6.25및월남전쟁,1,1,0
2025-03,충청북도,괴산군,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,54,54,0
2025-03,충청북도,괴산군,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,충청북도,괴산군,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,충청북도,괴산군,36,5.18민주유공자,5·18부상자,1,1,0
2025-03,충청북도,괴산군,37,5.18민주유공자,5·18희생자,1,1,0
2025-03,충청북도,괴산군,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,충청북도,괴산군,39,특수임무유공자,특수임무부상자,3,3,0
2025-03,충청북도,괴산군,40,특수임무유공자,특수임무공로자,2,1,1
2025-03,충청북도,괴산군,41,중·장기복무제대군인,중·장기복무제대군인,135,135,0
2025-03,충청북도,단양군,1,순국선열,건국훈장,0,0,0
2025-03,충청북도,단양군,2,순국선열,건국포장,0,0,0
2025-03,충청북도,단양군,3,순국선열,대통령표창,0,0,0
2025-03,충청북도,단양군,4,애국지사,건국훈장,1,0,1
2025-03,충청북도,단양군,5,애국지사,건국포장,0,0,0
2025-03,충청북도,단양군,6,애국지사,대통령표창,0,0,0
2025-03,충청북도,단양군,7,전몰·전상·순직·공상군경,전몰군경,35,0,35
2025-03,충청북도,단양군,8,전몰·전상·순직·공상군경,전상군경,149,41,108
2025-03,충청북도,단양군,9,전몰·전상·순직·공상군경,순직군경,13,0,13
